random,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url,network
x,,,low,Borg,SON,https://ftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/,FANTOM
x,,,low,Hyperjump,ORI,https://hyperjump.fi,https://rugdoc.io/project/hyperjump-fi/,FANTOM
x,,,low,Ester,EST,https://ester.finance,https://rugdoc.io/project/ester-finance/,FANTOM
No TLV,,,low,Beefy,Various,https://fantom.beefy.finance,https://rugdoc.io/project/beefy-finance/,FANTOM
,,,high,Stake Steak,STEAK,https://stakesteak.com,https://rugdoc.io/project/stakesteak/,FANTOM
,,,high,Frankenstein,FRANK,https://frankenstein.finance,https://rugdoc.io/project/frankenstein/,FANTOM
x,,,high,Waka,WAKA,https://waka.finance,https://rugdoc.io/project/waka-ftm/,FANTOM
xx,,,high,Paintswap,BRUSH,https://paintswap.finance,https://rugdoc.io/project/paintswap/,FANTOM
xx,,,low,Tomb,Various,https://tomb.finance,https://rugdoc.io/project/tomb-finance/,FANTOM
,,,high,Shadow,Various,https://shadowswap.app,https://rugdoc.io/project/shadowswap-finance/,FANTOM
,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/,FANTOM
,,,some,Opera,OPERA,https://www.operaswap.finance,https://rugdoc.io/project/operaswap-finance/,FANTOM
