cmc_id,name,current_name,symbol,name_in_coingecko
7647.0,Azuki,Azuki,AZUKI,Azuki
8457.0,B20,B20,B20,B20
2572.0,BABB,BABB,BAX,BABB
5062.0,BEPRO Network,BEPRO Network,BEPRO,BEPRO Network
4534.0,BITTO,BITTO,BITTO,BITTO
2223.0,BLOCKv,BLOCKv,VEE,BLOCKv
6911.0,BNSD Finance,BNSD Finance,BNSD,BNSD Finance
3956.0,BOMB,BOMB,BOMB,BOMB
4217.0,BOSAGORA,BOSAGORA,BOA,BOSAGORA
2095.0,BOScoin,BOScoin,BOS,BOScoin
3475.0,BOX Token,BOX Token,BOX,BOX Token
9345.0,BSC Station,BSC Station,BSCS,BSC Station
8190.0,BSCEX,BSCEX,BSCX,BSCEX
8660.0,BSCPAD,BSCPAD,BSCPAD,BSCPAD
8843.0,BSCView,BSCView,BSCV,Bscview
8662.0,BSCstarter,BSCstarter,START,BSCstarter
3737.0,BTU Protocol,BTU Protocol,BTU,BTU Protocol
6956.0,BUILD Finance,BUILD Finance,BUILD,BUILD Finance
2465.0,BUX Token,BUX Token,BUX,BUX Token
1962.0,BUZZCoin,BUZZCoin,BUZZ,BuzzCoin
3142.0,BaaSid,BaaSid,BAAS,BaaSid
7859.0,Badger DAO,Badger DAO,BADGER,Badger DAO
5728.0,Balancer,Balancer,BAL,Balancer
4704.0,Banano,Banano,BAN,Banano
2592.0,Banca,Banca,BANCA,Banca
4679.0,Band Protocol,Band Protocol,BAND,Band Protocol
4918.0,Bankroll Network,Bankroll Network,BNKR,Bankroll Network
8168.0,Bao Finance,Bao Finance,BAO,Bao Finance
7440.0,BarnBridge,BarnBridge,BOND,BarnBridge
6592.0,BarterTrade,BarterTrade,BART,BarterTrade
7838.0,Base Protocol,Base Protocol,BASE,Base Protocol
6570.0,Based Money,Based Money,$BASED,Based Money
1697.0,Basic Attention Token,Basic Attention Token,BAT,Basic Attention Token
7813.0,Basis Cash,Basis Cash,BAC,Basis Cash
7816.0,Basis Share,Basis Share,BAS,Basis Share
8733.0,BasketCoin,BasketCoin,BSKT,BasketCoin
9157.0,BasketDAO,BasketDAO,BASK,BasketDAO
3656.0,Beacon,Beacon,BECN,Beacon
3702.0,Beam,Beam,BEAM,BEAM
4646.0,Beaxy,Beaxy,BXY,Beaxy
7311.0,Beefy.Finance,Beefy.Finance,BIFI,Beefy.Finance
7414.0,Behodler,Behodler,EYE,Behodler
6928.0,Bella Protocol,Bella Protocol,BEL,Bella Protocol
8730.0,Belt,Belt,BELT,Belt
7765.0,Benchmark Protocol,Benchmark Protocol,MARK,Benchmark Protocol
7176.0,Beowulf,Beowulf,BWF,Beowulf
8483.0,Berry Data,Berry Data,BRY,Berry Data
3587.0,Bgogo Token,Bgogo Token,BGG,Bgogo Token
8132.0,BiFi,BiFi,BIFI,BiFi
5181.0,BiLira,BiLira,TRYB,BiLira
1916.0,BiblePay,BiblePay,BBP,BiblePay
2307.0,Bibox Token,Bibox Token,BIX,Bibox Token
7817.0,Bifrost,Bifrost (BFC),BFC,Bifrost
8708.0,Big Data Protocol,Big Data Protocol,BDP,Big Data Protocol
1839.0,Binance Coin,Binance Coin,BNB,Binance Coin
4687.0,Binance USD,Binance USD,BUSD,Binance USD
6586.0,Bintex Futures,Bintex Futures,BNTX,Bintex Futures
7795.0,Bird.Money,Bird.Money,BIRD,Bird.Money
2009.0,Bismuth,Bismuth,BIS,Bismuth
3687.0,BitBall,BitBall,BTB,Bitball
3066.0,BitCapitalVendor,BitCapitalVendor,BCV,BitCapitalVendor
1654.0,BitCore,BitCore,BTX,BitCore
2374.0,BitDegree,BitDegree,BDG,BitDegree
2604.0,BitGreen,BitGreen,BITG,BitGreen
2934.0,BitKan,BitKan,KAN,BitKan
2933.0,BitMart Token,BitMart Token,BMX,BitMart Token
