,cmc_id,name,current_name,symbol,name_in_duneanalytics,name_in_debank,name_in_defi,name_in_tt,name_in_defistation,name_in_solana
0,1.0,Bitcoin,Bitcoin,BTC,,,,Bitcoin,,
1,2.0,Litecoin,Litecoin,LTC,,,,Litecoin,,
27,74.0,Dogecoin,Dogecoin,DOGE,,,,Dogecoin,,
56,213.0,MonaCoin,MonaCoin,MONA,,Mona,,,,
100,512.0,Stellar,Stellar,XLM,,,,Stellar,,
104,572.0,RabbitCoin,RabbitCoin,RBBT,,RabbitHole,,,,
131,789.0,Nexus,Nexus,NXS,Nexus Mutual,,Nexus-Mutual,,,
136,825.0,Tether,Tether,USDT,,,,,,Tether
168,1027.0,Ethereum,Ethereum,ETH,,,,Ethereum,,
186,1104.0,Augur,Augur,REP,Augur,Augur,Augur,,,
200,1168.0,Decred,Decred,DCR,,,,Decred,,
228,1274.0,Waves,Waves,WAVES,,,,,,Waves
260,1437.0,Zcash,Zcash,ZEC,,,,Zcash,,
285,1518.0,Maker,Maker,MKR,MakerDAO,Maker,Maker,MakerDAO,,
292,1552.0,Enzyme,Enzyme,MLN,,Enzyme,Enzyme Finance,Enzyme Finance,,
293,1552.0,Enzyme,Enzyme,MLN,,Enzyme,Enzyme-Finance,Enzyme Finance,,
294,1552.0,Enzyme,Enzyme,MLN,,Melon,Enzyme Finance,Enzyme Finance,,
295,1552.0,Enzyme,Enzyme,MLN,,Melon,Enzyme-Finance,Enzyme Finance,,
296,1552.0,Enzyme,Enzyme,MLN,,Melon Token,Enzyme Finance,Enzyme Finance,,
297,1552.0,Enzyme,Enzyme,MLN,,Melon Token,Enzyme-Finance,Enzyme Finance,,
312,1605.0,Universe,Universe,UNI,,Universe,,Universe,,
329,1659.0,Gnosis,Gnosis,GNO,,Gnosis,Gnosis,Gnosis,,
330,1659.0,Gnosis,Gnosis,GNO,,Gnosis Token,Gnosis,Gnosis,,
338,1680.0,Aragon,Aragon,ANT,,Aragon,,,,
339,1680.0,Aragon,Aragon,ANT,,Aragon Network Token,,,,
364,1727.0,Bancor,Bancor,BNT,Bancor,Bancor,Bancor,Bancor,,
365,1727.0,Bancor,Bancor,BNT,Bancor,Bancor Network Token,Bancor,Bancor,,
412,1839.0,Binance Coin,Binance Coin,BNB,,,,Binance Chain,,
430,1896.0,0x,0x,ZRX,0x,0x,,0x,,
431,1896.0,0x,0x,ZRX,0x,0x Protocol Token,,0x,,
444,1934.0,Loopring,Loopring,LRC,,Loopring,Loopring,Loopring,,
445,1934.0,Loopring,Loopring,LRC,,Loopring V1,Loopring,Loopring,,
446,1934.0,Loopring,Loopring,LRC,,LoopringCoin V2,Loopring,Loopring,,
456,1958.0,TRON,TRON,TRX,,,,TRON,,
465,1975.0,Chainlink,Chainlink,LINK,,ChainLink,,,,Chainlink
466,1975.0,Chainlink,Chainlink,LINK,,ChainLink Token,,,,Chainlink
468,1982.0,Kyber Network,Kyber Network Crystal Legacy,KNC,,Kyber,Kyber,Kyber,,
469,1982.0,Kyber Network,Kyber Network Crystal Legacy,KNC,,Kyber Network Crystal,Kyber,Kyber,,
475,1993.0,Kin,Kin,KIN,,,,,,Kin
483,2010.0,Cardano,Cardano,ADA,,,,Cardano,,
484,2011.0,Tezos,Tezos,XTZ,,,,Tezos,,
500,2058.0,AirSwap,AirSwap,AST,,Airswap,,,,
595,2280.0,Filecoin,Filecoin,FIL,,,,Filecoin,,
687,2430.0,Hydro Protocol,Hydro Protocol,HOT,,Hydro Protocol Token,,,,
755,2538.0,Nectar,Nectar,NEC,,Ethfinex Nectar Token,,,,
756,2539.0,Ren,Ren,REN,Ren,Ren,RenVM,Ren,,Ren
757,2539.0,Ren,Ren,REN,Ren,Republic Token,RenVM,Ren,,Ren
796,2586.0,Synthetix,Synthetix,SNX,Synthetix,Synthetix,Synthetix,Synthetix,,
797,2586.0,Synthetix,Synthetix,SNX,Synthetix,Synthetix Network Token,Synthetix,Synthetix,,
820,2620.0,Switcheo,Switcheo,SWTH,,Switcheo,,,,
835,2653.0,Auctus,Auctus,AUC,,,Auctus,,,
853,2682.0,Holo,Holo,HOT,,Hydro Protocol Token,,,,
905,2762.0,Open Platform,Open Platform,OPEN,,OPEN Governance Token,,,,
906,2762.0,Open Platform,Open Platform,OPEN,,OpenDAO,,,,
945,2873.0,Metronome,Metronome,MET,,,Metronome,,,
1093,3127.0,Themis,Themis,GET,,Themis,,,,
1252,3408.0,USD Coin,USD Coin,USDC,,,,,,USDC
1272,3444.0,KUN,KUN,KUN,,Qian,QIAN,,,
1273,7721.0,KUN,KUN,KUN,,Qian,QIAN,,,
1364,3640.0,Livepeer,Livepeer,LPT,,,,Livepeer,,
1493,3809.0,DOS Network,DOS Network,DOS,,DOS Network,,,,
1494,3809.0,DOS Network,DOS Network,DOS,,DOS Network Token,,,,
1555,3890.0,Polygon,Polygon,MATIC,,,Matic-Network,,,
1556,3890.0,Polygon,Polygon,MATIC,,,Polygon,,,
1577,3918.0,Safe,Safe,SAFE,,SAFE,,,,
1585,3928.0,IDEX,IDEX,IDEX,,IDEX,IDEX,IDEX,,
1586,3928.0,IDEX,IDEX,IDEX,,IDEX Token,IDEX,IDEX,,
1612,3964.0,Reserve Rights,Reserve Rights,RSR,,Reserve Rights,,,,
1664,4056.0,Ampleforth,Ampleforth,AMPL,,Ampleforth,,,,
1700,4118.0,ForTube,ForTube,FOR,,ForTube Bank,ForTube,,ForTube,
1701,4118.0,ForTube,ForTube,FOR,,ForTube Bank V1,ForTube,,ForTube,
1702,4118.0,ForTube,ForTube,FOR,,ForTube Bond,ForTube,,ForTube,
1703,4118.0,ForTube,ForTube,FOR,,The Force Token,ForTube,,ForTube,
