,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
0,,sil,0.0,0.0,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
1,$BASED,ETH,7287.4743482,5.7197484,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
2,$BASED,SUSD,8777.5670231,14.593619280000002,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
3,$BASED,sUSD,76.26718020000001,0.130785,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
4,$DG,BNB,2089536.35,167.26,BSC,430.5687463109159,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
5,$DG,ETH,618139.43,36.56,MATIC,44.111485900007594,FARM,https://quickswap.exchange/#/quick,2021-07-19,https://quickswap.exchange/#/quick,MATIC,B
6,$DG,ETH,841763.0143925,9.668104079999999,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
7,$DG,ETH,96743.5616073,11.68934316,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
8,$DG,QUICK,142217.20,23.83,MATIC,26.899118663427558,FARM,https://quickswap.exchange/#/quick,2021-07-19,https://quickswap.exchange/#/quick,MATIC,B
9,$ITG,USDC,61624.0305622,1.491975,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
10,$ROPE,ETH,22432.4773196,2.65625832,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
11,$TRDL,ETH,97058.19,119.55,ETH,229.87593017853243,FARM,https://strudel.finance,2021-07-19,https://strudel.finance,ETH,D
12,$TRDL,ETH,52472.2613188,3.1341915599999997,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
13,$TRDL,ETH,3472.5983663,3.6483985199999998,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
14,$TRDL,oneVBTC,0.0,0.0,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
15,0819,AUR,0.0,0.0,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
16,0921,uPUNKS,0.0,0.0,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
17,0XMON,ETH,19819.9752401,9.703369440000001,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
18,0xBTC,ETH,39546.24,11.05,ETH,11.681767235979956,FARM,https://www.bao.finance,2021-07-19,https://www.bao.finance,ETH,F
19,0xBTC,ETH,21306.9543463,0.6715669200000001,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
20,0xMR,ETH,4002.270682,2.20644252,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
21,10 - kmWETH,WMATIC-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-19,https://gemstones.finance,MATIC,C
22,11 - kmWETH,USDT-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-19,https://gemstones.finance,MATIC,C
23,12 - kmAAVE,USDC-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-19,https://gemstones.finance,MATIC,C
24,13 - kmWBTC,DAI-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-19,https://gemstones.finance,MATIC,C
25,1337,ETH,139818.68342359998,0.31713624,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
26,1INCH,,0.00,0,BSC,0.0,FARM,https://caramelswap.finance,2021-07-19,https://caramelswap.finance,BSC,C
27,1INCH,ABS,2.83,0.00,BSC,0.0,FARM,https://absorber.finance,2021-07-19,https://absorber.finance,BSC,D
28,1INCH,BNB,2144.62,141.42,BSC,310.19701497895005,FARM,https://icecreamswap.finance,2021-07-19,https://icecreamswap.finance,BSC,D
29,1INCH,BNB,751.56,704.66,BSC,107331.98114508273,FARM,http://mangofarm.finance,2021-07-19,http://mangofarm.finance,BSC,C
30,1INCH,BNB,1268.79,0.00,BSC,0.0,FARM,https://berlin.worldswap.finance,2021-07-19,https://berlin.worldswap.finance,BSC,D
31,1INCH,BUSD,190.36,11.08,BSC,11.715266635445198,FARM,http://mangofarm.finance,2021-07-19,http://mangofarm.finance,BSC,C
32,1INCH,ETH,1146940.52,0.41,ETH,0.4108393376791586,FARM,https://www.bao.finance,2021-07-19,https://www.bao.finance,ETH,F
33,1INCH,ETH,7828350.43,0.00,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-07-19,https://1inch.exchange/#/dao/farming,ETH,B
34,1INCH,ETH,594358.1368683,6.19581168,ETH,,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
35,1INCH,ETH,6998.9160646,6.124915560000001,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
36,1INCH,SUSHI,3011.5062674,0.61528176,ETH,,POOL,Sushi,2021-07-19,Sushi,ETH,A
