,dex,network
0,https://farm.boneswap.finance,MATIC
1,https://polymocha.finance,MATIC
2,https://www.polygarden.finance,MATIC
3,https://dojofarm.finance,MATIC
5,https://polytopia.farm,MATIC
6,https://platinumfinance.app,MATIC
7,https://polycow.finance,MATIC
8,https://euroballz.finance,MATIC
9,https://polytulip.com,MATIC
10,https://polygon.secura.finance,MATIC
11,https://titanbull.finance,MATIC
12,https://lionfarming.cc,MATIC
13,https://polygonfarm.finance,MATIC
14,https://swap.net,MATIC
15,https://www.symbioteswap.net,BSC
16,https://retrofarms.net,BSC
17,https://www.magmacakefinance.com,BSC
18,https://sabertoothswap.com,BSC
19,https://www.fungifinance.com,BSC
20,https://lady.smurf.money,BSC
21,https://lumberjackdefi.com,BSC
22,https://bsc.wepiggy.com/markets,ETH
24,https://jungleswap.cash,BSC
27,https://eternity.money,BSC
29,https://kong.jungleswap.cash,BSC
30,https://polywantsacracker.farm,MATIC
31,https://corgiswap.org,BSC
35,https://dexterlab.finance,BSC
36,https://brainswap.finance,MATIC
40,https://www.cryptosphere.finance,BSC
45,https://www.bamboodefi.com,ETH
49,https://polyyearn.finance,MATIC
50,https://app.hepa.finance,BSC
55,https://app.beefarm.finance,BSC
60,https://poly.cakecrypt.io,MATIC
67,https://bsc.bullrun.finance,BSC
68,https://goldfarm.app,BSC
71,https://app.boobafinance.com,BSC
72,https://bsc.secura.finance,BSC
75,https://bsc.dojofarm.finance,BSC
79,https://deedee.dexterlab.finance,BSC
113,https://dapp.satoroswap.finance,BSC
123,https://shibance.com,BSC
159,https://www.moondoge.com,BSC
211,https://app.tendieswap.org,BSC
229,https://shibaswap.com,ETH
235,https://fantom.bullrun.finance,FANTOM
249,https://hanoi.worldswap.finance,MATIC
250,https://polygon.bullrun.finance,MATIC
252,https://cancer.astrofarms.finance,MATIC
253,https://polygorilla.finance,MATIC
258,https://berkshire.polymax.club,MATIC
262,https://polytoken.finance,MATIC
264,https://www.polyghost.finance,MATIC
266,https://community.worldswap.finance,MATIC
267,https://kwil.polyquail.finance,MATIC
268,https://copycat.farm,MATIC
273,https://poolsar.finance,MATIC
274,https://polygon.wepiggy.com/markets,ETH
275,https://www.wepiggy.com/markets,ETH
277,https://polygon.jetswap.finance,MATIC
573,PolyTreasure,MATIC
624,https://elysm.polytopia.farm,MATIC
809,https://shade.cash,FANTOM
864,https://gravityfinance.io/app/#farms,MATIC
925,https://polygon.paprprintr.finance,MATIC
1454,https://saddle.exchange,ETH
