pair1,pair2,tvl,where,apr,network
WETH,USDT,239639702,SUSHI,12.41,ETH
USDC,WETH,327505750,SUSHI,11.35,ETH
DAI,WETH,"194,526,818",SUSHI,16.95,ETH
sUSD,WETH,"9,631,753",SUSHI,16.19,ETH
COMP,WETH,"19,628,399",SUSHI,9.04,ETH
SNX,WETH,"21,427,178",SUSHI,16.79,ETH
UMA,WETH,"7,132,794",SUSHI,7.57,ETH
LINK,WETH,"79,717,047",SUSHI,15.04,ETH
BAND,WETH,"2,226,396",SUSHI,26.93,ETH
YFI,WETH,"144,883,615",SUSHI,15.4,ETH
SUSHI,WETH,"275,565,617",SUSHI,20.89,ETH
REN,WETH,"6,215,447",SUSHI,19.29,ETH
WETH,CRV,"10,542,578",SUSHI,17.06,ETH
UNI,WETH,"16,915,910",SUSHI,0.71,ETH
xSUSHI,WETH,"23,010,743",SUSHI,18.24,ETH
WBTC,WETH,"406,107,551",SUSHI,8.12,ETH
CREAM,WETH,"1,538,535",SUSHI,23.38,ETH
HEGIC,WETH,"826,458",SUSHI,7.26,ETH
MKR,WETH,"25,751,157",SUSHI,9.31,ETH
PICKLE,WETH,"305,740",SUSHI,19.61,ETH
WETH,OMG,"2,429,575",SUSHI,14.81,ETH
AAVE,WETH,"96,747,399",SUSHI,10.23,ETH
WETH,AMP,"3,844,256",SUSHI,10.92,ETH
WETH,RARI,"1,241,082",SUSHI,19.33,ETH
DPI,WETH,"3,437,656",SUSHI,10.47,ETH
YAM,WETH,"2,056,646",SUSHI,17.49,ETH
REDUCE,,0,SUSHI,NaN,ETH
FARM,WETH,"95,008",SUSHI,63.11,ETH
DOUGH,WETH,"66,648",SUSHI,89.97,ETH
STAKE,WETH,"623,559",SUSHI,48.08,ETH
AKRO,WETH,"210,176",SUSHI,28.53,ETH
KP3R,WETH,"2,422,818",SUSHI,43.56,ETH
WETH,SEEN,"471,042",SUSHI,12.73,ETH
ESD,WETH,"1,756,354",SUSHI,3.41,ETH
PNK,WETH,"408,191",SUSHI,14.69,ETH
CVP,WETH,"214,805",SUSHI,44.66,ETH
YETI,WETH,"548,411",SUSHI,21.87,ETH
ARCH,WETH,"693,207",SUSHI,17.3,ETH
WETH,INJ,"492,198",SUSHI,12.18,ETH
BOR,WETH,"512,890",SUSHI,11.69,ETH
DFD,WETH,"1,310,306",SUSHI,4.58,ETH
WBTC,BADGER,"13,535,310",SUSHI,13.29,ETH
zLOT,WETH,"39,969",SUSHI,30,ETH
INDEX,WETH,"867,546",SUSHI,27.65,ETH
JRT,WETH,"128,969",SUSHI,46.49,ETH
WETH,UWL,"99,473",SUSHI,12.06,ETH
ICHI,WETH,"48,256",SUSHI,124.26,ETH
ROPE,WETH,"19,606",SUSHI,61.17,ETH
UST,WETH,"1,389,550",SUSHI,31.07,ETH
WETH,BCP,"855,768",SUSHI,14.01,ETH
YPIE,WETH,"595,011",SUSHI,10.08,ETH
DEFI+L,WETH,"91,729",SUSHI,13.07,ETH
DDX,USDC,"153,631",SUSHI,7.81,ETH
MPH,WETH,"115,695",SUSHI,51.83,ETH
USDT,FRONT,"32,819",SUSHI,73.08,ETH
WETH,UOP,"114,289",SUSHI,10.49,ETH
ALPHA,WETH,"3,494,617",SUSHI,34.32,ETH
