,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url
76,AAVE,,120.91,109.80,MATIC,199.32261698612973,FARM,https://www.polyswan.finance,2021-06-21,,,,low,Polyswan,SWAN,https://www.polyswan.finance,https://rugdoc.io/project/polyswan/
77,AAVE,,45411.00,21.92,MATIC,24.49983520802168,FARM,https://polypingu.finance,2021-06-21,x,,,some,PolyPingu,PINGU,https://polypingu.finance,https://rugdoc.io/project/polypingu/
78,AAVE,,2267.05,100.55,MATIC,172.94976065445016,FARM,https://polygon.prismfinance.net,2021-06-21,x,,,low,Prism,PRISM,https://polygon.prismfinance.net,https://rugdoc.io/project/prism-finance/
79,AAVE,,3184.85,230.97,MATIC,899.8377760900644,FARM,https://dinosaurfinance.vercel.app,2021-06-21,,,,high,Dinosaur,DINO,https://dinosaurfinance.vercel.app,https://rugdoc.io/project/dinosaur-finance/
80,AAVE,,186.25,127.32,MATIC,256.4360126717021,FARM,https://polymouse.finance,2021-06-21,,,,low,Polymouse,MICE,https://polymouse.finance,https://rugdoc.io/project/polymouse/
81,AAVE,,1403.44,23.28,MATIC,26.203537001030462,FARM,https://www.polytiger.com/,2021-06-21,,,,,,,,
82,AAVE,,1118.40,171.17,MATIC,451.6253517662651,FARM,https://polydeer.finance,2021-06-21,,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/
83,AAVE,,1118.40,513.51,MATIC,16290.926278927685,FARM,https://polydeer.finance,2021-06-21,,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/
84,AAVE,,1118.40,1369.36,MATIC,68898736.324245,FARM,https://polydeer.finance,2021-06-21,,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/
85,AAVE,,6.24,454.24,MATIC,9031.97795613456,FARM,https://avengers.exchange,2021-06-21,,,,low,Avengers,SHIELD,https://avengers.exchange,https://rugdoc.io/project/avengers-exchange/
86,AAVE,,0.00,79619885192114814976.00,MATIC,,FARM,https://harvester.app,2021-06-21,,,,,,,,
87,AAVE,,333972.04,361.69,MATIC,3556.520162378499,FARM,https://polypup.finance,2021-06-21,,,,low,PolyPup,PUP,https://polypup.finance,https://rugdoc.io/project/polypup-finance/
88,AAVE,,2109.37,74.30,MATIC,110.06457410361162,FARM,https://polygon.space-defi.com/,2021-06-21,,,,,,,,
89,AAVE,,21470.77,0.00,MATIC,0.0,FARM,https://8ballfinance.io,2021-06-21,,,,,,,,
90,AAVE,,141274.22,703.14,MATIC,105741.79705867238,FARM,https://polysnow.farm,2021-06-21,,,,low,PolySnowFarm,SNOW,https://polysnow.farm,https://rugdoc.io/project/polysnow-farm/
91,AAVE,,9649.52,1378.03,MATIC,74902952.42892724,FARM,https://polycafe.finance,2021-06-21,,,,,,,,
92,AAVE,,34.73,268.34,MATIC,1349.1817726211452,FARM,https://polycomet.com,2021-06-21,,,,,,,,
93,AAVE,,597.07,2830634.32,MATIC,,FARM,https://bali.worldswap.finance,2021-06-21,,,,,,,,
94,AAVE,,3343.17,0.00,MATIC,0.0,FARM,https://polycuban.finance,2021-06-21,,,,,,,,
95,AAVE,,0.00,0,ETH,0.0,FARM,https://polycat.finance,2021-06-21,,,,,,,,
96,AAVE,,76.09,122.19,FANTOM,238.67111674866285,FARM,https://klingftm.borgswap.exchange,2021-06-21,,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/
97,AAVE,,15328.30,157252.85,ETH,4.061259847607914e+266,FARM,https://www.bigdataprotocol.com/datavault,2021-06-21,,,,,,,,
98,AAVE,,26222717.72,14.88,ETH,16.04056908893361,FARM,https://dao.universe.xyz/yield-farming,2021-06-21,,,,,,,,
99,AAVE,AVAX,2157007.18,13.82,AVAX,14.817513543381189,FARM,https://app.pangolin.exchange/#/png,2021-06-21,,,,,,,,
100,AAVE,BNB,1788918.35,66.82,BSC,94.95315512958504,FARM,https://apeswap.finance,2021-06-21,,,,some,Apeswap,BANANA,https://apeswap.finance,https://rugdoc.io/project/apeswap/
101,AAVE,BNB,58.89,246.33,BSC,1064.6725766237478,FARM,https://app.gametoken.finance,2021-06-21,,,,low,Gametoken,GME,https://app.gametoken.finance,https://rugdoc.io/project/gametoken/
102,AAVE,BRSK,245.88,1125.10,MATIC,6492989.982519142,FARM,https://berserkfinance.com,2021-06-21,,,,low,BerserkFinance,BRSK,https://berserkfinance.com,https://rugdoc.io/project/berserk-finance/
103,AAVE,ELK,13795.04,353.20,MATIC,3261.661289264753,FARM,https://app.elk.finance,2021-06-21,,,,,,,,
104,AAVE,ELK,1535.09,398.79,FANTOM,5178.737151503121,FARM,https://app.elk.finance,2021-06-21,,,,,,,,
105,AAVE,ETH,23328464.99,0.98,ETH,0.9848044395539546,FARM,https://www.bao.finance,2021-06-21,,,,,,,,
106,AAVE,ETH,"96,747,399",10.23,ETH,10.76998594590588,FARM,SUSHI,2021-06-21,,,,,,,,
107,AAVE,ETH,7672055.61,38.27,MATIC,46.59441574583414,FARM,https://app.wault.finance/polygon,2021-06-21,,,,,,,,
108,AAVE,ETH,7592233.55,0,ETH,0.0,FARM,https://polycat.finance,2021-06-21,,,,,,,,
109,AAVE,ETH,51810.9543359069,1.0446363600000002,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
110,AAVE,ETH,12464.8189795085,1.7364614399999998,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
111,AAVE,FTM,1167549.35,102.09,FANTOM,177.17390386150748,FARM,https://spookyswap.finance,2021-06-21,x,,,low,Spooky,boo,https://spookyswap.finance,https://rugdoc.io/project/spookyswap/
112,AAVE,FTM,1166616.27,0.16,FANTOM,0.1601277170506954,FARM,https://strd.finance,2021-06-21,,,,,,,,
113,AAVE,FTM,188796.53,0,FANTOM,0.0,FARM,https://strd.finance,2021-06-21,,,,,,,,
114,AAVE,FTM,1165933.08,11.72,FANTOM,12.43231248786103,FARM,https://frankenstein.finance,2021-06-21,,,,high,Frankenstein,FRANK,https://frankenstein.finance,https://rugdoc.io/project/frankenstein/
115,AAVE,FTM,188796.78,74.38,FANTOM,110.23235115120463,FARM,https://waka.finance,2021-06-21,x,,,high,Waka,WAKA,https://waka.finance,https://rugdoc.io/project/waka-ftm/
116,AAVE,FTM,71562.46,186.20,FANTOM,540.6202843669349,FARM,https://www.operaswap.finance,2021-06-21,,,,some,Opera,OPERA,https://www.operaswap.finance,https://rugdoc.io/project/operaswap-finance/
117,AAVE,MUST,7537.57,0.00,MATIC,0.0,FARM,https://swap.cometh.io/#/stake,2021-06-21,,,,,,,,
118,AAVE,PNG,159620.91,42.28,AVAX,52.58556160749603,FARM,https://app.pangolin.exchange/#/png,2021-06-21,,,,,,,,
119,AAVE,USDC,62270.02,123.03,FANTOM,241.51833144446945,FARM,https://www.liquiddriver.finance,2021-06-21,,,,,,,,
120,AAVE,USDC,62310.63,59.42,FANTOM,81.07060675071097,FARM,https://klingftm.borgswap.exchange,2021-06-21,,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/
121,AAVE,WMATIC,144647.99,153.42,MATIC,362.27264182991945,FARM,https://farm.polyzap.finance,2021-06-21,x,,,low,Polyzap,PZAP,https://farm.polyzap.finance,https://rugdoc.io/project/polyzap-poly/
122,AAVE,WMATIC,10831.47,3176754.05,MATIC,,FARM,https://bali.worldswap.finance,2021-06-21,,,,,,,,
123,AAVE-LINK,kmUSDC,0,,ETH,,FARM,SUSHI,2021-06-21,,,,,,,,
124,ABRA,,1277.17,171.62,BSC,454.10160538435946,FARM,https://abrakadabra.tech,2021-06-21,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
125,ABRA,BNB,890.37,492.36,BSC,13204.503108834328,FARM,https://abrakadabra.tech,2021-06-21,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
126,ABRA,BUSD,968.07,905.67,BSC,767737.6158283118,FARM,https://abrakadabra.tech,2021-06-21,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
127,ABS,,262298.34,54.68,BSC,72.70086933204851,FARM,https://absorber.finance,2021-06-21,,,,,,,,
128,ABS,1INCH,65.34,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-21,,,,,,,,
129,ABS,BNB,1941.76,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-21,,,,,,,,
130,ABS,BUSD,3539.74,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-21,,,,,,,,
131,ABS,Cake,638.81,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-21,,,,,,,,
132,ABYSS,ETH,268.9422352184,1.06936824,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
133,AC,ETH,174.9827405899,0.51340236,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
134,ACG,ETH,0.0162295784,0.02306028,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
135,ACORN,,0.00,0,MATIC,0.0,FARM,https://lumberjack.finance,2021-06-21,,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/
136,ACORN,USDC,158.49,732.89,MATIC,141599.14372501604,FARM,https://lumberjack.finance,2021-06-21,,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/
137,ACS,ACSI,5224.34,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
138,ACS,BNB,7432.23,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
139,ACS,BNB,1046971.88,65.87,BSC,93.11319820081924,FARM,https://mdex.com,2021-06-21,,,,,,,,
140,ACS,SXP,523921.18,0.41,BSC,0.4108393376791586,FARM,https://swipe.org/farm,2021-06-21,,,,,,,,
141,ACS4,,0.00,0,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
142,ACS4IRON,,460515.61,56.99,BSC,76.73045808783294,FARM,https://iron.finance/,2021-06-21,,,,,,,,
143,ACS4QUSD,,0.00,0,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
144,ACS4UST,,3824.65,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
145,ACS4VAI,,0.00,0,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
146,ACSI,ACS,5224.34,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-21,,,,,,,,
147,ACXT,DGCL,12.9885298262,2.41429152,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
148,ACXWIN-KB,,0.00,0,BSC,0.0,FARM,https://xwin.finance,2021-06-21,,,,,,,,
149,ADA,,8438.54,0.00,BSC,0.0,FARM,https://www.goosedefi.com,2021-06-21,,,,,Goose,GOOSE,https://www.goosedefi.com,https://www.certik.org/projects/ramenswap
150,ADA,,131694.87,0,BSC,0.0,FARM,https://www.goosedefi.com,2021-06-21,,,,,Goose,GOOSE,https://www.goosedefi.com,https://www.certik.org/projects/ramenswap
151,ADA,,2205.03,0.00,BSC,0.0,FARM,http://slime.finance,2021-06-21,,,,low,Slime,SLIME,http://slime.finance,https://rugdoc.io/project/slime/
152,ADA,,267066.09,21.07,BSC,23.446689019202218,FARM,https://koaladefi.finance/,2021-06-21,,,,,,,,
153,ADA,,3156.58,338.56,BSC,2807.8371828038485,FARM,https://brickchain.finance,2021-06-21,,,,low,Brickchain,BRICK,https://brickchain.finance,https://rugdoc.io/project/brickchain/
154,ADA,,39752.02,44.15,BSC,55.462319562966435,FARM,https://app.hyruleswap.com,2021-06-21,x,,,low,Hyrule,RUPEE,https://app.hyruleswap.com,https://rugdoc.io/project/hyruleswap/
155,ADA,,109.70,176.34,BSC,480.75219902445167,FARM,https://www.jiggly.finance,2021-06-21,,,,low,Jiggly,JIGG,https://www.jiggly.finance,https://rugdoc.io/project/jiggly/
156,ADA,,2170.58,0.00,BSC,0.0,FARM,http://shitz.lol,2021-06-21,,,,,,,,
157,ADA,,3369.90,12.55,BSC,13.369071414847312,FARM,https://mooncakeswap.finance,2021-06-21,,,,low,Mooncake,MCAKE,https://mooncakeswap.finance,https://rugdoc.io/project/mooncakeswap/
158,ADA,,102.50,333.90,BSC,2676.6215514001465,FARM,https://app.comos.finance/,2021-06-21,,,,,,,,
159,ADA,,119.96,365.44,BSC,3694.8393504643036,FARM,https://abrakadabra.tech,2021-06-21,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
160,ADA,,53.68,35.06,BSC,41.968032594438064,FARM,https://farm.borgswap.exchange,2021-06-21,,,,low,BorgSwap,KLING,https://farm.borgswap.exchange,https://rugdoc.io/project/borg-ftm-bsc/
161,ADA,,8857.80,85.17,BSC,134.13035670828612,FARM,https://bitblocks.finance,2021-06-21,,,,low,BitBlocks,BBKFI,https://bitblocks.finance,https://rugdoc.io/project/bitblocks/
162,ADA,,20.86,0.00,BSC,0.0,FARM,https://lokum.finance,2021-06-21,,,,high,Lokum,LKM,https://lokum.finance,https://rugdoc.io/project/lokum-finance/
163,ADA,,6616.58,26.89,BSC,30.839474150713663,FARM,https://limeswap.io,2021-06-21,x,,,low,Lime,LIME,https://limeswap.io,https://rugdoc.io/project/limeswap-io/
164,ADA,,35243.39,0.00,BSC,0.0,FARM,https://caramelswap.finance,2021-06-21,x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/
165,ADA,,5206.58,33.97,BSC,40.43043016356393,FARM,https://tapswap.finance,2021-06-21,x,,,some,Tap,TAPS,https://tapswap.finance,https://rugdoc.io/project/tapswap-money/
166,ADA,,216356.95,77.78,BSC,117.48777270890156,FARM,https://app.barbecueswapfinance.com,2021-06-21,,,,low,Barbecue Swap,BBQ,https://app.barbecueswapfinance.com,https://rugdoc.io/project/barbecueswap-finance/
167,ADA,,548.93,0.00,BSC,0.0,FARM,https://vanillacake.farm,2021-06-21,x,,,some,Vanillacake,VCAKE,https://vanillacake.farm,https://rugdoc.io/project/vanillacake/
168,ADA,,4552.64,0.00,BSC,0.0,FARM,https://garudaswap.finance,2021-06-21,x,,,some,Garuda,GARUDA,https://garudaswap.finance,https://rugdoc.io/project/garudaswap/
169,ADA,,1421.38,32.26,BSC,38.051624702437834,FARM,https://www.elixir-swap.io,2021-06-21,,,,high,Elixir,ELXR,https://www.elixir-swap.io,https://rugdoc.io/project/elixir-swap/
170,ADA,,6324.29,2.82,BSC,2.860026365860402,FARM,https://www.grizzlyswap.com,2021-06-21,,,,low,Grizzly,GRZ,https://www.grizzlyswap.com,https://rugdoc.io/project/grizzlyswap/
171,ADA,,4511.86,0.00,BSC,0.0,FARM,https://gocerberus.finance,2021-06-21,x,,,low,Cerberus,CERBERUS,https://gocerberus.finance,https://rugdoc.io/project/gocerberus/
172,ADA,,1114.54,0.00,BSC,0.0,FARM,https://ketchupfinance.com,2021-06-21,x,,,some,Ketchup,KETCHUP,https://ketchupfinance.com,https://rugdoc.io/project/ketchup-finance/
173,ADA,,25869.91,549.27,BSC,23217.320985038983,FARM,https://mayoswap.com,2021-06-21,,,,high,Mayo,MAYO,https://mayoswap.com,https://rugdoc.io/project/mayoswap/
174,ADA,,4847.06,23.76,BSC,26.810378194632722,FARM,https://www.andromedadefi.com,2021-06-21,,,,low,Andromeda,ADR,https://www.andromedadefi.com,https://rugdoc.io/project/andromeda/
175,ADA,,99.79,3761.85,BSC,3.54253903904326e+17,FARM,https://thunderbird.finance/,2021-06-21,,,,,,,,
176,ADA,,43238.54,73.82,BSC,109.06071221696499,FARM,https://www.venomswap.net,2021-06-21,,,,low,VenomSwap,VENOM,https://www.venomswap.net,https://rugdoc.io/project/venom-swap/
177,ADA,,4.92,19046.34,BSC,3.650421796975449e+68,FARM,https://www.blacksheepdefi.com,2021-06-21,,,,low,Blacksheep,BLACKSHEEP,https://www.blacksheepdefi.com,https://rugdoc.io/project/blacksheep-finance/
178,ADA,,2445.85,28.36,BSC,32.775544386494374,FARM,https://brussels.worldswap.finance,2021-06-21,,,,,,,,
179,ADA,,13184.51,12.22,BSC,12.99569657808808,FARM,https://krustykrab.finance,2021-06-21,,,,,,,,
180,ADA,,17991.25,16164.89,BSC,1.3132145681016516e+60,FARM,https://www.meatchfinance.com/,2021-06-21,,,,,,,,
181,ADA,BBKFI,7984.53,188.98,BSC,558.5857646261301,FARM,https://bitblocks.finance,2021-06-21,,,,low,BitBlocks,BBKFI,https://bitblocks.finance,https://rugdoc.io/project/bitblocks/
182,ADA,BBOO,9588.59,293.14,BSC,1753.5564101795255,FARM,https://pandayield.com,2021-06-21,,,,,,,,
183,ADA,BNB,19843644.04,19.61,BSC,21.658449767797872,FARM,https://pancakeswap.finance,2021-06-21,x,,,least,Pancake,CAKE,https://pancakeswap.finance,https://rugdoc.io/project/pancakeswap/
