,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url
0,,sil,0.0,0.0,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
1,,xSUSHI,0.0,0.0,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
2,$BASED,ETH,12.6406779013,8.808390119999999,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
3,$BASED,SUSD,13.1172968556,5.72888256,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
4,$DG,ETH,687785.51,77.30,MATIC,116.4485352996437,FARM,https://quickswap.exchange/#/quick,2021-06-16,,,,,,,,
5,$DG,ETH,783.7760318253,5.9177233199999995,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
6,$DG,QUICK,181332.57,107.88,MATIC,193.64720414584383,FARM,https://quickswap.exchange/#/quick,2021-06-16,,,,,,,,
7,$ROPE,ETH,23.0013663189,5.7588788399999995,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
8,$TRDL,ETH,170469.02,148.37,ETH,339.598919131465,FARM,https://strudel.finance,2021-06-16,,,,,,,,
9,$TRDL,ETH,65.2613706058,3.30166308,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
10,$TRDL,ETH,3.699132103,5.99870484,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
11,$TRDL,MUST,5398.96,263.81,MATIC,1285.4526884765055,FARM,https://swap.cometh.io/#/stake,2021-06-16,,,,,,,,
12,$TRDL,oneVBTC,0.0,0.0,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
13,0XMON,ETH,9.806047349,11.60412132,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
14,0xBTC,ETH,67466.45,3.10,ETH,3.1484146077249475,FARM,https://www.bao.finance,2021-06-16,,,,,,,,
15,0xBTC,ETH,0.0037067058,0.0,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
16,0xBTC,ETH,25.0166185461,2.30547576,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
17,0xMR,ETH,6.3932875898,24.30591528,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
18,10SET,ETH,0.0007452129,0.18127031999999998,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
19,1337,ETH,150.7563003364,0.49014192,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
20,1INCH,,0.00,0,BSC,0.0,FARM,https://caramelswap.finance,2021-06-16,x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/
21,1INCH,ABS,6.32,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-16,,,,,,,,
22,1INCH,BNB,2308.18,230.98,BSC,899.9371360774553,FARM,https://icecreamswap.finance,2021-06-16,x,3.0,,,Icecream,GLTO,https://icecreamswap.finance,https://swapicecream.gitbook.io/icecreamswap-2-0/audit-report
23,1INCH,BNB,12879.71,195.34,BSC,601.5987620543007,FARM,http://mangofarm.finance,2021-06-16,x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/
24,1INCH,BUSD,275.56,36.38,BSC,43.8525770093126,FARM,http://mangofarm.finance,2021-06-16,x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/
25,1INCH,ETH,1986767.17,0.13,ETH,0.13008430482186473,FARM,https://www.bao.finance,2021-06-16,,,,,,,,
26,1INCH,ETH,15549214.94,0.00,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-06-16,,,,,,,,
27,1INCH,ETH,780.3625830605,21.187301399999996,ETH,,POOL,Uniswap,2021-06-16,,,,,,,,
28,1INCH,ETH,5.8004394665,13.0237212,ETH,,POOL,Sushi,2021-06-16,,,,,,,,
