pair1,pair2,tvl,where,apr,network
WETH,USDT,254933857,SUSHI,16.06,ETH
USDC,WETH,432904080,SUSHI,11.82,ETH
DAI,WETH,"232,082,031",SUSHI,19.56,ETH
sUSD,WETH,"11,246,444",SUSHI,19.08,ETH
COMP,WETH,"26,649,190",SUSHI,9.17,ETH
SNX,WETH,"31,693,502",SUSHI,15.62,ETH
UMA,WETH,"8,667,162",SUSHI,8.57,ETH
LINK,WETH,"109,583,777",SUSHI,15.06,ETH
BAND,WETH,"3,065,684",SUSHI,26.92,ETH
YFI,WETH,"192,010,924",SUSHI,15.99,ETH
SUSHI,WETH,"384,701,182",SUSHI,20.59,ETH
REN,WETH,"8,254,589",SUSHI,19.99,ETH
WETH,CRV,"13,107,915",SUSHI,18.89,ETH
UNI,WETH,"23,229,479",SUSHI,0.71,ETH
xSUSHI,WETH,"28,983,012",SUSHI,19.93,ETH
WBTC,WETH,"600,389,507",SUSHI,7.56,ETH
CREAM,WETH,"2,044,632",SUSHI,24.22,ETH
HEGIC,WETH,"1,131,730",SUSHI,7.29,ETH
MKR,WETH,"35,709,977",SUSHI,9.24,ETH
PICKLE,WETH,"396,504",SUSHI,20.81,ETH
WETH,OMG,"3,292,435",SUSHI,15.04,ETH
AAVE,WETH,"132,096,732",SUSHI,10.31,ETH
WETH,AMP,"4,502,438",SUSHI,12.83,ETH
WETH,RARI,"1,848,622",SUSHI,17.86,ETH
DPI,WETH,"4,614,192",SUSHI,10.73,ETH
YAM,WETH,"2,527,383",SUSHI,19.59,ETH
REDUCE,,0,SUSHI,,ETH
FARM,WETH,"119,516",SUSHI,69.05,ETH
DOUGH,WETH,"88,548",SUSHI,93.2,ETH
STAKE,WETH,"759,284",SUSHI,54.34,ETH
AKRO,WETH,"282,467",SUSHI,29.22,ETH
KP3R,WETH,"3,834,929",SUSHI,37.87,ETH
WETH,SEEN,"668,180",SUSHI,12.35,ETH
ESD,WETH,"2,563,250",SUSHI,3.22,ETH
PNK,WETH,"559,244",SUSHI,14.76,ETH
CVP,WETH,"282,131",SUSHI,46.8,ETH
YETI,WETH,"729,903",SUSHI,22.61,ETH
ARCH,WETH,"967,540",SUSHI,17.06,ETH
WETH,INJ,"661,632",SUSHI,12.47,ETH
BOR,WETH,"764,763",SUSHI,10.79,ETH
DFD,WETH,"2,016,832",SUSHI,4.09,ETH
WBTC,BADGER,"13,637,058",SUSHI,18.15,ETH
zLOT,WETH,"46,317",SUSHI,35.63,ETH
INDEX,WETH,"1,122,785",SUSHI,29.4,ETH
JRT,WETH,"146,778",SUSHI,56.22,ETH
WETH,UWL,"136,689",SUSHI,12.07,ETH
ICHI,WETH,"62,966",SUSHI,131.06,ETH
ROPE,WETH,"43,683",SUSHI,37.78,ETH
UST,WETH,"1,611,307",SUSHI,36.88,ETH
WETH,BCP,"1,144,341",SUSHI,14.42,ETH
YPIE,WETH,"759,139",SUSHI,10.87,ETH
DEFI+L,WETH,"123,038",SUSHI,13.41,ETH
DDX,USDC,"151,694",SUSHI,10.88,ETH
