pair1,pair2,tvl,where,apr,network
MPH,WETH,"150,051",SUSHI,55,ETH
USDT,FRONT,"40,414",SUSHI,81.68,ETH
WETH,UOP,"157,871",SUSHI,10.45,ETH
ALPHA,WETH,"4,606,244",SUSHI,35.83,ETH
WETH,CRETH2,"5,779,076",SUSHI,2.86,ETH
DUSD,WETH,"248,805",SUSHI,33.17,ETH
ANT,WETH,"1,606,413.53",SUSHI,5.14,ETH
COVER,WETH,1214204.17,SUSHI,27.19,ETH
SAFFRONCHEF,,0,SUSHI,NaN,ETH
WBTC,DIGG,3109085.71,SUSHI,26.54,ETH
NFTX,WETH,6771074,SUSHI,18.28,ETH
API3,WETH,2348589.17,SUSHI,14.06,ETH
LDO,WETH,8111759.79,SUSHI,20.35,ETH
WETH,pWING,55811.83,SUSHI,29.57,ETH
TUSD,WETH,"1,528,157",SUSHI,27,ETH
ALEPH,WETH,"163,857",SUSHI,50.36,ETH
MTA,WETH,"303,697",SUSHI,10.87,ETH
WETH,RGT,"2,964,419",SUSHI,16.7,ETH
IDLE,WETH,"2,307,966",SUSHI,3.58,ETH
SDT,WETH,"466,024",SUSHI,141.66,ETH
GNO,WETH,"464,041",SUSHI,3.56,ETH
BAC,WETH,"7,096",SUSHI,232.59,ETH
ARMOR,WETH,"192,339",SUSHI,42.91,ETH
WETH,ASSY,"41,316",SUSHI,39.95,ETH
renDOGE,WETH,"873,617",SUSHI,56.68,ETH
NCT,WETH,"45,288",SUSHI,36.44,ETH
TORN,WETH,"686,692",SUSHI,72.11,ETH
VSP,WETH,"5,237,899",SUSHI,23.63,ETH
WETH,YLD,"78,866",SUSHI,104.64,ETH
DAO,WETH,"398,757",SUSHI,20.7,ETH
WETH,GRT,"1,555,978",SUSHI,31.82,ETH
FTM,WETH,"5,926,420",SUSHI,6.96,ETH
WETH,ANY,"4,189,173",SUSHI,1.97,ETH
PUNK,WETH,"45,510",SUSHI,36.27,ETH
MASK,WETH,"33,959",SUSHI,48.6,ETH
XFT,WETH,"271,941",SUSHI,6.07,ETH
WETH,ZRX,"1,518,918",SUSHI,5.43,ETH
DERI,USDT,"1,309,828",SUSHI,6.3,ETH
PREMIA,WETH,"3,013,419",SUSHI,2.74,ETH
BANK,WETH,"873,425",SUSHI,151.17,ETH
LINA,WETH,"138,888",SUSHI,59.42,ETH
PERP,WETH,"9,645,942",SUSHI,4.28,ETH
WSCRT,WETH,"316,283",SUSHI,26.09,ETH
USDP,WETH,"214,106",SUSHI,38.54,ETH
USDP,DUCK,"243,455",SUSHI,20.34,ETH
TRDL,WETH,"36,738",SUSHI,44.93,ETH
RLC,WETH,"833,483",SUSHI,9.9,ETH
bDIGG,WETH,"93,442",SUSHI,52.99,ETH
bBADGER,WETH,"220,450",SUSHI,37.43,ETH
YLA,USDC,"562,485",SUSHI,29.34,ETH
MASK,USDC,"383,496",SUSHI,86.08,ETH
WETH,ROOK,"3,812,111",SUSHI,10.82,ETH
DFX,WETH,"185,298",SUSHI,44.54,ETH
INV,WETH,"645,294",SUSHI,127.89,ETH
OCEAN,WETH,"253,153",SUSHI,32.6,ETH
WOO,USDC,"1,931,697",SUSHI,21.36,ETH
pONT,pWING,"134,990",SUSHI,61.13,ETH
DNT,WETH,"783,013",SUSHI,10.54,ETH
AERGO,WETH,"94,018",SUSHI,87.77,ETH
EGT,WETH,"491,322",SUSHI,16.8,ETH
MUST,WETH,"424,663",SUSHI,19.43,ETH
OHM,DAI,"1,327,484",SUSHI,124.33,ETH
POOL,WETH,"163,082",SUSHI,50.6,ETH
WETH,YLD,"780,801",SUSHI,10.57,ETH
BZRX,WETH,"1,190,213",SUSHI,6.93,ETH
kmWETH,USDT,0,SUSHI,NaN,ETH
kmWETH,USDC,0,SUSHI,NaN,ETH
kmWETH,DAI,0,SUSHI,NaN,ETH
kmWBTC,USDT,0,SUSHI,NaN,ETH
kmWBTC,DAI,0,SUSHI,NaN,ETH
kmWBTC,USDC,0,SUSHI,NaN,ETH
kmLINK,USDT,0,SUSHI,NaN,ETH
kmLINK,DAI,0,SUSHI,NaN,ETH
kmLINK,USDC,0,SUSHI,NaN,ETH
kmUSDC,1INCH,0,SUSHI,NaN,ETH
kmUSDC,AAVE,0,SUSHI,NaN,ETH
kmUSDC,BADGER,0,SUSHI,NaN,ETH
kmUSDC,ALPHA,0,SUSHI,NaN,ETH
kmUSDC,BZRX,0,SUSHI,NaN,ETH
kmUSDC,COMP,0,SUSHI,NaN,ETH
kmUSDC,COVER,0,SUSHI,NaN,ETH
kmUSDC,CREAM,0,SUSHI,NaN,ETH
kmUSDC,GRT,0,SUSHI,NaN,ETH
kmUSDC,HEGIC,0,SUSHI,NaN,ETH
kmUSDC,LINK,0,SUSHI,NaN,ETH
kmUSDC,REN,0,SUSHI,NaN,ETH
kmUSDC,SRM,0,SUSHI,NaN,ETH
kmUSDC,SUSHI,0,SUSHI,NaN,ETH
kmUSDC,UNI,0,SUSHI,NaN,ETH
kmUSDC,wNXM,0.00,SUSHI,NaN,ETH
kmUSDC,YFI,0,SUSHI,NaN,ETH
kmSUSHI,UNI,0.00,SUSHI,NaN,ETH
kmUNI,SUSHI,0,SUSHI,NaN,ETH
kmSUSHI,USDC,0,SUSHI,NaN,ETH
kmSUSHI,USDT,0,SUSHI,NaN,ETH
kmSUSHI,DAI,0,SUSHI,NaN,ETH
kmWETH,1INCH,0,SUSHI,NaN,ETH
kmYFI,USDC,0,SUSHI,NaN,ETH
kmAAVE,USDC,0,SUSHI,NaN,ETH
kmALPHA,USDC,0,SUSHI,NaN,ETH
kmBADGER,USDC,0,SUSHI,NaN,ETH
kmRUNE,USDT,0,SUSHI,NaN,ETH
kmUMA,DAI,0,SUSHI,NaN,ETH
kmDAI,CRV,0,SUSHI,NaN,ETH
kmDPI,sUSD,0,SUSHI,NaN,ETH
yvBOOST,WETH,"24,077,041",SUSHI,27.42,ETH
AXS,WETH,"2,216,993",SUSHI,18.61,ETH
BDI,WETH,"10,012,335",SUSHI,20.61,ETH
BASK,WETH,"1,468,162",SUSHI,140.52,ETH
WBTC,ibBTC,"69,230,883",SUSHI,2.98,ETH
ZIG,WETH,"258,583",SUSHI,31.91,ETH
MM,WETH,"246,889",SUSHI,66.85,ETH
PENDLE,WETH,"1,825,041",SUSHI,90.44,ETH
PMON,WETH,"141,740",SUSHI,58.22,ETH
MANA,WETH,"4,889,353",SUSHI,33.76,ETH
WASABI,WETH,"78,146",SUSHI,105.6,ETH
DRC,WETH,"165,153",SUSHI,99.94,ETH
WETH,DG,"219,751",SUSHI,75.11,ETH
ILV,WETH,"1,039,791",SUSHI,79.37,ETH
kmxSUSHI,UST,0,SUSHI,NaN,ETH
kmxSUSHI,DAI,0,SUSHI,NaN,ETH
kmxSUSHI,USDC,0,SUSHI,NaN,ETH
kmxSUSHI,TUSD,0,SUSHI,NaN,ETH
kmxSUSHI,USDT,0,SUSHI,NaN,ETH
MASTERCHEFDUMMY,,1.00,SUSHI,NaN,ETH
BLO,WETH,"119,891",SUSHI,27.53,ETH
LDN,WETH,"57,069",SUSHI,86.76,ETH
WETH,WOOFY,"80,917",SUSHI,20.4,ETH
YFI,WOOFY,"439,875",SUSHI,3.75,ETH
NAOS,WETH,"290,384",SUSHI,142.09,ETH
UMB,WETH,"171,428",SUSHI,48.14,ETH
MOVE,WETH,"697,250",SUSHI,23.67,ETH
LEV,WETH,"156,864",SUSHI,21.04,ETH
WETH,MLN,"3,212,153",SUSHI,51.38,ETH
RULER,WETH,"144,396",SUSHI,137.16,ETH
kmCOMP,USDC,0,SUSHI,NaN,ETH
kmFTM,USDC,0,SUSHI,NaN,ETH
kmSNX,USDC,0,SUSHI,NaN,ETH
kmRUNE,sUSD,0,SUSHI,NaN,ETH
kmREN,USDC,0,SUSHI,NaN,ETH
kmAAVE,DAI,0,SUSHI,NaN,ETH
kmUNI,DAI,0,SUSHI,NaN,ETH
BPT,WETH,"37,878",SUSHI,217.87,ETH
NEAR,WETH,"338,140",SUSHI,24.41,ETH
BANK,WETH,"169,908",SUSHI,48.57,ETH
alUSD,WETH,"145,807",SUSHI,56.6,ETH
USDC,SAK3,"145,417",SUSHI,56.75,ETH
BOND,WETH,"78,859",SUSHI,104.65,ETH
bb_cDAI,DAI,"138,810",SUSHI,59.45,ETH
WETH,FOLD,"91,256",SUSHI,90.43,ETH
NDX,WETH,"149,455",SUSHI,55.22,ETH
DEGEN,WETH,"222,592",SUSHI,37.07,ETH
