,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
24,1INCH,BUSD,204.51,8.98,BSC,9.394338825743898,FARM,http://mangofarm.finance,2021-06-28,http://mangofarm.finance,BSC,C
25,1INCH,ETH,9339287.51,0.00,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-06-28,https://1inch.exchange/#/dao/farming,ETH,B
26,1INCH,ETH,682600.6749025,20.96813076,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
27,1INCH,ETH,5228.8840184,5.41394916,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
28,1INCH,USDC,1234.5186342000002,0.40344696,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
29,1INCH,VSP,3460115.15,0.00,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-06-28,https://1inch.exchange/#/dao/farming,ETH,B
30,1ONE,ETH,28733.0,228,ETH,,FARM,https://app.sushi.com/farms/,2021-06-28,https://app.sushi.com/farms/,ETH,A
31,1ONE,ETH,202398.51934189998,1.40943996,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
32,1UP,ETH,435.3433787,0.5265770399999999,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
33,2GT,USDT,34162.726221900004,2.15423844,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
34,2KEY,DAI,9033.4987805,1.51039296,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
35,2KEY,ETH,74097.1491202,2.4262336799999997,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
36,2KEY,ETH,14.3307172,0.0035435999999999996,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
37,3EPS,,452903.99,15.39,BSC,16.63364111823573,FARM,https://app.swamp.finance,2021-06-28,https://app.swamp.finance,BSC,C
38,3EPS,,382401920.06,5.55,BSC,5.706455720951498,FARM,https://ellipsis.finance,2021-06-28,https://ellipsis.finance,BSC,C
39,3FBird,,0.00,0,MATIC,0.0,FARM,https://app.firebird.finance,2021-06-28,https://app.firebird.finance,MATIC,C
40,3FROYO,,384652.76,22.06,FANTOM,24.67415195070548,FARM,https://frozenyogurt.finance,2021-06-28,https://frozenyogurt.finance,FANTOM,F
41,4Belt,,0.00,0,BSC,0.0,FARM,https://autofarm.network,2021-06-28,https://autofarm.network,BSC,C
42,4Belt,,0.00,0,BSC,0.0,FARM,https://beta.belt.fi,2021-06-28,https://beta.belt.fi,BSC,F
43,4Belt,,0.00,0,BSC,0.0,FARM,https://app.swamp.finance,2021-06-28,https://app.swamp.finance,BSC,C
44,4Belt,,0.00,0,BSC,0.0,FARM,https://blue.planetfinance.io,2021-06-28,https://blue.planetfinance.io,BSC,D
45,4Belt,,0.00,0,BSC,0.0,FARM,https://app.yieldparrot.finance,2021-06-28,https://app.yieldparrot.finance,BSC,D
46,50C,,29588.0,7372.33,ETH,,FARM,https://50cent.network,2021-06-28,https://50cent.network,ETH,C
47,69C,ETH,515.6546944,0.08386212000000001,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
48,888,BNB,97.78,1037.37,BSC,2769432.683743376,FARM,https://glacierswap.org/farms/,2021-06-28,https://glacierswap.org/farms/,BSC,D
49,88MPH,DAI,6797.210855900001,0.07637052,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
50,88MPH,HARVEST,0.0,0.0,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
51,88MPH,UNI,23351.9001738,0.09764616000000001,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
52,89SA,ETH,3998.7623129999997,5.15366652,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
53,8BALL,,709.53,976.35,MATIC,1529274.912675188,FARM,https://8ballfinance.io,2021-06-28,https://8ballfinance.io,MATIC,C
54,8BALL,USDC,845.17,2535.98,MATIC,4444891482376.994,FARM,https://8ballfinance.io,2021-06-28,https://8ballfinance.io,MATIC,C
55,8BALL,WMATIC,995.26,2681.93,MATIC,17355230272275.092,FARM,https://8ballfinance.io,2021-06-28,https://8ballfinance.io,MATIC,C
56,A010,BNB,2156.75,2.61,BSC,2.6442629905691684,FARM,https://dollar.supra.finance,2021-06-28,https://dollar.supra.finance,BSC,D
57,AAH,ETH,60304.3105996,0.37990164000000004,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
58,AAVE,,31.60,206.00,MATIC,680.0662215068666,FARM,https://polyvolve.finance,2021-06-28,https://polyvolve.finance,MATIC,D
59,AAVE,,15032.55,60.29,MATIC,82.6501919749474,FARM,https://polygaj.finance,2021-06-28,https://polygaj.finance,MATIC,C
60,AAVE,,3181.51,0,MATIC,0.0,FARM,https://www.polycake.finance,2021-06-28,https://www.polycake.finance,MATIC,C
61,AAVE,,35.45,0,MATIC,0.0,FARM,https://polyrangers.finance,2021-06-28,https://polyrangers.finance,MATIC,F
62,AAVE,,1979.05,179.86,MATIC,501.4559117124078,FARM,https://polyvalent.finance,2021-06-28,https://polyvalent.finance,MATIC,D
63,AAVE,,1158.72,91.90,MATIC,150.38887051382937,FARM,https://polyfi.io,2021-06-28,https://polyfi.io,MATIC,D
64,AAVE,,2606.64,0,MATIC,0.0,FARM,https://polylion.exchange,2021-06-28,https://polylion.exchange,MATIC,C
65,AAVE,,1682.44,44.23,MATIC,55.586588668907225,FARM,https://www.orcinuslabs.ca,2021-06-28,https://www.orcinuslabs.ca,MATIC,C
66,AAVE,,1175.10,8.42,MATIC,8.783587803157555,FARM,https://polywolf.finance,2021-06-28,https://polywolf.finance,MATIC,F
67,AAVE,,50.08,176.88,MATIC,483.88156078415074,FARM,https://www.polygoat.finance,2021-06-28,https://www.polygoat.finance,MATIC,F
68,AAVE,,7528.32,195.81,MATIC,604.8863803398901,FARM,https://www.moonwolf.io,2021-06-28,https://www.moonwolf.io,MATIC,D
69,AAVE,,0.00,0,MATIC,0.0,FARM,https://polycrab.finance,2021-06-28,https://polycrab.finance,MATIC,D
70,AAVE,,71.99,79.65,MATIC,121.58414186833429,FARM,https://polybear.exchange,2021-06-28,https://polybear.exchange,MATIC,F
71,AAVE,,2001.86,165.24,MATIC,420.00640411131195,FARM,https://www.smellycat.finance,2021-06-28,https://www.smellycat.finance,MATIC,C
72,AAVE,,0.00,189848690299186688.00,MATIC,,FARM,https://www.polyswan.finance,2021-06-28,https://www.polyswan.finance,MATIC,D
73,AAVE,,1628.66,66.93,MATIC,95.16732896674259,FARM,https://polypingu.finance,2021-06-28,https://polypingu.finance,MATIC,C
74,AAVE,,1938.84,40.06,MATIC,49.23921831949436,FARM,https://polygon.prismfinance.net,2021-06-28,https://polygon.prismfinance.net,MATIC,C
75,AAVE,,3190.78,180.57,MATIC,505.72031443901454,FARM,https://dinosaurfinance.vercel.app,2021-06-28,https://dinosaurfinance.vercel.app,MATIC,F
76,AAVE,,10.60,617.83,MATIC,45687.35698745574,FARM,https://polymouse.finance,2021-06-28,https://polymouse.finance,MATIC,C
77,AAVE,,67.43,156.73,MATIC,377.7630107679574,FARM,https://www.polytiger.com/,2021-06-28,https://www.polytiger.com/,MATIC,D
78,AAVE,,4.64,665.75,MATIC,73226.91665948727,FARM,https://polydeer.finance,2021-06-28,https://polydeer.finance,MATIC,C
79,AAVE,,4.64,1997.25,MATIC,27857854160.404163,FARM,https://polydeer.finance,2021-06-28,https://polydeer.finance,MATIC,C
80,AAVE,,4.64,5325.99,MATIC,3.899223802524398e+23,FARM,https://polydeer.finance,2021-06-28,https://polydeer.finance,MATIC,C
81,AAVE,,6.26,240.60,MATIC,1000.2304649604577,FARM,https://avengers.exchange,2021-06-28,https://avengers.exchange,MATIC,D
82,AAVE,,2128.85,21.99,MATIC,24.58696317582847,FARM,https://polygon.space-defi.com/,2021-06-28,https://polygon.space-defi.com/,MATIC,C
83,AAVE,,7065.49,14.01,MATIC,15.035790902454416,FARM,https://8ballfinance.io,2021-06-28,https://8ballfinance.io,MATIC,C
84,AAVE,,56356.27,125.00,MATIC,248.28971552256257,FARM,https://polysnow.farm,2021-06-28,https://polysnow.farm,MATIC,C
85,AAVE,,693.14,265.69,MATIC,1311.5544652121498,FARM,https://polycafe.finance,2021-06-28,https://polycafe.finance,MATIC,C
86,AAVE,,0.00,15815811688809592832.00,MATIC,,FARM,https://polycomet.com,2021-06-28,https://polycomet.com,MATIC,F
87,AAVE,,0.00,0,MATIC,0.0,FARM,https://bali.worldswap.finance,2021-06-28,https://bali.worldswap.finance,MATIC,D
88,AAVE,,262.27,158.63,MATIC,386.88749951359125,FARM,https://polycuban.finance,2021-06-28,https://polycuban.finance,MATIC,C
89,AAVE,,117652.74,2000.80,MATIC,28811414337.57031,FARM,https://harvester.app,2021-06-28,https://harvester.app,MATIC,D
90,AAVE,,4032.11,1928.91,MATIC,14564603423.080692,FARM,https://polybrew.finance,2021-06-28,https://polybrew.finance,MATIC,C
91,AAVE,,64154.12,164.25,MATIC,414.9066440689059,FARM,PolyDiamond,2021-06-28,PolyDiamond,MATIC,C
92,AAVE,,2262424.53,579.79,MATIC,31392.45486074917,FARM,https://bone.polypup.finance,2021-06-28,https://bone.polypup.finance,MATIC,C
93,AAVE,,16126.16,0,ETH,0.0,FARM,https://www.bigdataprotocol.com/datavault,2021-06-28,https://www.bigdataprotocol.com/datavault,ETH,C
94,AAVE,,83.82,78.67,FANTOM,119.4278766346176,FARM,https://klingftm.borgswap.exchange,2021-06-28,https://klingftm.borgswap.exchange,FANTOM,C
95,AAVE,,312754.0,0,ETH,,FARM,https://aave.com,2021-06-28,https://aave.com,ETH,A
96,AAVE,,427775309.0,0,ETH,,FARM,https://aave.com,2021-06-28,https://aave.com,ETH,A
97,AAVE,AVAX,2093482.18,12.69,AVAX,13.527844333671535,FARM,https://app.pangolin.exchange/#/png,2021-06-28,https://app.pangolin.exchange/#/png,AVAX,B
98,AAVE,BNB,3104593.13,27.91,BSC,32.17985491302071,FARM,https://apeswap.finance,2021-06-28,https://apeswap.finance,BSC,C
99,AAVE,BNB,60.27,150.70,BSC,349.91905853618744,FARM,https://app.gametoken.finance,2021-06-28,https://app.gametoken.finance,BSC,D
100,AAVE,BRSK,230.02,3336.91,MATIC,7368255916988261.0,FARM,https://berserkfinance.com,2021-06-28,https://berserkfinance.com,MATIC,D
101,AAVE,ELK,17615.49,250.95,MATIC,1119.361559518792,FARM,https://app.elk.finance,2021-06-28,https://app.elk.finance,MATIC,D
102,AAVE,ELK,2808.83,268.90,FANTOM,1357.2603357688988,FARM,https://app.elk.finance,2021-06-28,https://app.elk.finance,FANTOM,D
103,AAVE,ETH,100650692.0,10.76,ETH,11.358455734044659,FARM,https://app.sushi.com/farms/,2021-06-28,https://app.sushi.com/farms/,ETH,A
104,AAVE,ETH,5336090.01,12.58,MATIC,13.403075530835352,FARM,https://app.wault.finance/polygon,2021-06-28,https://app.wault.finance/polygon,MATIC,B
105,AAVE,ETH,914203.51,207.49,MATIC,691.7097865435112,FARM,https://polycrystal.finance,2021-06-28,https://polycrystal.finance,MATIC,C
106,AAVE,ETH,45676807.385430805,10.297034640000001,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
107,AAVE,ETH,11165228.6515489,13.24635516,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
108,AAVE,FTM,1457482.35,54.08,FANTOM,71.6692988164499,FARM,https://spookyswap.finance,2021-06-28,https://spookyswap.finance,FANTOM,B
109,AAVE,FTM,1460210.98,8.33,FANTOM,8.685749057478231,FARM,https://frankenstein.finance,2021-06-28,https://frankenstein.finance,FANTOM,F
110,AAVE,FTM,136788.37,14.93,FANTOM,16.098580185854814,FARM,https://waka.finance,2021-06-28,https://waka.finance,FANTOM,F
111,AAVE,FTM,45024.83,75.33,FANTOM,112.23494882464884,FARM,https://www.operaswap.finance,2021-06-28,https://www.operaswap.finance,FANTOM,D
112,AAVE,MUST,8076.04,0.00,MATIC,0.0,FARM,https://swap.cometh.io/#/stake,2021-06-28,https://swap.cometh.io/#/stake,MATIC,C
113,AAVE,PNG,150644.23,39.36,AVAX,48.19931903380032,FARM,https://app.pangolin.exchange/#/png,2021-06-28,https://app.pangolin.exchange/#/png,AVAX,B
114,AAVE,USDC,1386728.15,165.43,MATIC,420.9908917881527,FARM,https://exchange.dfyn.network,2021-06-28,https://exchange.dfyn.network,MATIC,B
115,AAVE,USDC,70519.98,73.40,FANTOM,108.1862583833738,FARM,https://www.liquiddriver.finance,2021-06-28,https://www.liquiddriver.finance,FANTOM,C
116,AAVE,USDC,70519.98,76.69,FANTOM,115.13498052170586,FARM,https://klingftm.borgswap.exchange,2021-06-28,https://klingftm.borgswap.exchange,FANTOM,C
117,AAVE,WMATIC,159309.69,76.02,MATIC,113.7013830235884,FARM,https://farm.polyzap.finance,2021-06-28,https://farm.polyzap.finance,MATIC,C
118,AAVE,WMATIC,9394.20,0.00,MATIC,0.0,FARM,https://bali.worldswap.finance,2021-06-28,https://bali.worldswap.finance,MATIC,D
119,AAVE,WMATIC,957567.28,198.58,MATIC,624.5768137565994,FARM,https://polycrystal.finance,2021-06-28,https://polycrystal.finance,MATIC,C
120,ABRA,,390.22,209.36,BSC,706.5684103431661,FARM,https://abrakadabra.tech,2021-06-28,https://abrakadabra.tech,BSC,F
121,ABRA,BNB,535.85,304.92,BSC,1983.291161279125,FARM,https://abrakadabra.tech,2021-06-28,https://abrakadabra.tech,BSC,F
122,ABRA,BUSD,525.33,622.05,BSC,47627.28384240727,FARM,https://abrakadabra.tech,2021-06-28,https://abrakadabra.tech,BSC,F
123,ABS,,210802.31,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-28,https://absorber.finance,BSC,D
124,ABS,1INCH,3.97,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-28,https://absorber.finance,BSC,D
125,ABS,BNB,1713.98,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-28,https://absorber.finance,BSC,D
126,ABS,BUSD,2980.33,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-28,https://absorber.finance,BSC,D
127,ABS,Cake,557.20,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-28,https://absorber.finance,BSC,D
128,ABYSS,ETH,250421.47939969998,0.95327736,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
129,AC,ETH,158687.0094871,2.25288096,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
130,ACG,ETH,16.2295784,0.02306028,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
131,ACORN,,0.00,0,MATIC,0.0,FARM,https://lumberjack.finance,2021-06-28,https://lumberjack.finance,MATIC,C
132,ACORN,USDC,145.12,670.89,MATIC,77023.15312043433,FARM,https://lumberjack.finance,2021-06-28,https://lumberjack.finance,MATIC,C
133,ACS,ACSI,4180.63,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
134,ACS,BNB,6665.38,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
135,ACS,BNB,909570.89,68.05,BSC,97.36141006629342,FARM,https://mdex.com,2021-06-28,https://mdex.com,BSC,C
136,ACS,SXP,437237.02,0.47,BSC,0.4711031921647013,FARM,https://swipe.org/farm,2021-06-28,https://swipe.org/farm,BSC,B
137,ACS4,,0.00,0,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
138,ACS4IRON,,507110.64,60.61,BSC,83.23463926623853,FARM,https://iron.finance/,2021-06-28,https://iron.finance/,BSC,C
139,ACS4QUSD,,0.00,0,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
140,ACS4UST,,3681.66,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
141,ACS4VAI,,0.00,0,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
142,ACSI,ACS,4180.63,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-06-28,https://app.acryptos.com,BSC,D
143,ACXT,DGCL,11901.4808322,15.20060016,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
144,ACXWIN-KB,,0.00,0,BSC,0.0,FARM,https://xwin.finance,2021-06-28,https://xwin.finance,BSC,D
145,ADA,,8834.10,0.00,BSC,0.0,FARM,https://www.goosedefi.com,2021-06-28,https://www.goosedefi.com,BSC,C
146,ADA,,106629.22,0,BSC,0.0,FARM,https://www.goosedefi.com,2021-06-28,https://www.goosedefi.com,BSC,C
147,ADA,,2308.39,0.00,BSC,0.0,FARM,http://slime.finance,2021-06-28,http://slime.finance,BSC,D
148,ADA,,263048.34,18.81,BSC,20.689572763545417,FARM,https://koaladefi.finance/,2021-06-28,https://koaladefi.finance/,BSC,C
149,ADA,,2866.75,220.24,BSC,798.7026145428886,FARM,https://brickchain.finance,2021-06-28,https://brickchain.finance,BSC,C
150,ADA,,40718.34,33.12,BSC,39.24291695493962,FARM,https://app.hyruleswap.com,2021-06-28,https://app.hyruleswap.com,BSC,D
151,ADA,,93.04,162.73,BSC,407.1736198763132,FARM,https://www.jiggly.finance,2021-06-28,https://www.jiggly.finance,BSC,C
152,ADA,,2291.17,0.00,BSC,0.0,FARM,http://shitz.lol,2021-06-28,http://shitz.lol,BSC,F
153,ADA,,3377.81,6.31,BSC,6.512753841135499,FARM,https://mooncakeswap.finance,2021-06-28,https://mooncakeswap.finance,BSC,D
154,ADA,,716.39,40.27,BSC,49.55260476481476,FARM,https://app.comos.finance/,2021-06-28,https://app.comos.finance/,BSC,D
155,ADA,,50.11,326.07,BSC,2469.3076411724937,FARM,https://abrakadabra.tech,2021-06-28,https://abrakadabra.tech,BSC,F
156,ADA,,57.06,29.70,BSC,34.5652776846695,FARM,https://farm.borgswap.exchange,2021-06-28,https://farm.borgswap.exchange,BSC,C
157,ADA,,11387.47,60.32,BSC,82.70490484291224,FARM,https://bitblocks.finance,2021-06-28,https://bitblocks.finance,BSC,C
158,ADA,,0.00,0,BSC,0.0,FARM,https://lokum.finance,2021-06-28,https://lokum.finance,BSC,D
159,ADA,,5721.08,15.32,BSC,16.55206044578015,FARM,https://limeswap.io,2021-06-28,https://limeswap.io,BSC,C
160,ADA,,6880.54,0.00,BSC,0.0,FARM,https://caramelswap.finance,2021-06-28,https://caramelswap.finance,BSC,C
161,ADA,,2688.48,23.18,BSC,26.077476734250915,FARM,https://tapswap.finance,2021-06-28,https://tapswap.finance,BSC,D
162,ADA,,226020.73,40.40,BSC,49.74693469024607,FARM,https://app.barbecueswapfinance.com,2021-06-28,https://app.barbecueswapfinance.com,BSC,D
163,ADA,,131.17,0.00,BSC,0.0,FARM,https://vanillacake.farm,2021-06-28,https://vanillacake.farm,BSC,D
164,ADA,,4120.76,0.00,BSC,0.0,FARM,https://garudaswap.finance,2021-06-28,https://garudaswap.finance,BSC,D
165,ADA,,1510.92,22.98,BSC,25.825732793521496,FARM,https://www.elixir-swap.io,2021-06-28,https://www.elixir-swap.io,BSC,F
166,ADA,,6670.14,1.39,BSC,1.3996785793956246,FARM,https://www.grizzlyswap.com,2021-06-28,https://www.grizzlyswap.com,BSC,C
167,ADA,,1955.65,0.00,BSC,0.0,FARM,https://gocerberus.finance,2021-06-28,https://gocerberus.finance,BSC,C
168,ADA,,1103.58,0.00,BSC,0.0,FARM,https://ketchupfinance.com,2021-06-28,https://ketchupfinance.com,BSC,D
169,ADA,,20483.55,101.00,BSC,174.17740523552703,FARM,https://mayoswap.com,2021-06-28,https://mayoswap.com,BSC,D
170,ADA,,562.85,45.64,BSC,57.79316290093499,FARM,https://www.andromedadefi.com,2021-06-28,https://www.andromedadefi.com,BSC,C
171,ADA,,0.00,0,BSC,0.0,FARM,https://thunderbird.finance/,2021-06-28,https://thunderbird.finance/,BSC,C
172,ADA,,3261.55,117.78,BSC,224.10708567501888,FARM,https://www.venomswap.net,2021-06-28,https://www.venomswap.net,BSC,F
173,ADA,,11.39,1367.37,BSC,67589786.95709687,FARM,https://www.blacksheepdefi.com,2021-06-28,https://www.blacksheepdefi.com,BSC,F
174,ADA,,0.00,0,BSC,0.0,FARM,https://brussels.worldswap.finance,2021-06-28,https://brussels.worldswap.finance,BSC,D
175,ADA,,564.42,19.00,BSC,20.918982000183384,FARM,https://krustykrab.finance,2021-06-28,https://krustykrab.finance,BSC,D
176,ADA,,271.44,213.75,BSC,742.5523008234011,FARM,https://www.meatchfinance.com/,2021-06-28,https://www.meatchfinance.com/,BSC,D
177,ADA,,8253.28,104.74,BSC,184.59589192287638,FARM,https://www.carnageswap.net,2021-06-28,https://www.carnageswap.net,BSC,D
178,ADA,,124049.01,2.77,BSC,2.8086131440393736,FARM,https://thoreum.finance,2021-06-28,https://thoreum.finance,BSC,C
179,ADA,,129908.73,2.64,BSC,2.6750586738312876,FARM,https://thoreum.finance,2021-06-28,https://thoreum.finance,BSC,C
180,ADA,,23356.45,27.10,BSC,31.11432226136688,FARM,https://app.seedmoneyfinance.com,2021-06-28,https://app.seedmoneyfinance.com,BSC,C
181,ADA,,4865.36,119.18,BSC,228.66160827849043,FARM,https://app.seedmoneyfinance.com,2021-06-28,https://app.seedmoneyfinance.com,BSC,C
182,ADA,,8340.45,7287.50,BSC,7.176444694304969e+30,FARM,https://whalefarm.finance,2021-06-28,https://whalefarm.finance,BSC,C
183,ADA,,6831.43,147.08,BSC,333.98707952336173,FARM,https://berlin.worldswap.finance,2021-06-28,https://berlin.worldswap.finance,BSC,D
184,ADA,,3951.52,2176608.53,BSC,,FARM,https://fusionfinance.farm/,2021-06-28,https://fusionfinance.farm/,BSC,C
185,ADA,,7705.24,101.44,BSC,175.38309283811185,FARM,https://www.blueballs.finance,2021-06-28,https://www.blueballs.finance,BSC,D
186,ADA,,15360.62,680.37,BSC,84546.23585340046,FARM,https://seleniumswap.com,2021-06-28,https://seleniumswap.com,BSC,C
187,ADA,BBKFI,8388.58,163.76,BSC,412.4010038844648,FARM,https://bitblocks.finance,2021-06-28,https://bitblocks.finance,BSC,C
188,ADA,BBOO,6652.09,219.38,BSC,791.0527819626491,FARM,https://pandayield.com,2021-06-28,https://pandayield.com,BSC,D
189,ADA,BNB,21431016.84,17.25,BSC,18.822340053717078,FARM,https://pancakeswap.finance,2021-06-28,https://pancakeswap.finance,BSC,B
190,ADA,BNB,6863269.20,25.25,BSC,28.71271288221009,FARM,https://apeswap.finance,2021-06-28,https://apeswap.finance,BSC,C
191,ADA,BNB,3581842.13,6.34,BSC,6.544706922936894,FARM,https://autofarm.network,2021-06-28,https://autofarm.network,BSC,C
192,ADA,BNB,53043.77,0,BSC,0.0,FARM,https://www.goosedefi.com,2021-06-28,https://www.goosedefi.com,BSC,C
193,ADA,BNB,1696.49,223.50,BSC,828.3002427196645,FARM,https://icecreamswap.finance,2021-06-28,https://icecreamswap.finance,BSC,D
194,ADA,BNB,24533.78,83.06,BSC,129.2530817452095,FARM,https://pool.mochiswap.io,2021-06-28,https://pool.mochiswap.io,BSC,D
195,ADA,BNB,227.51,0.00,BSC,0.0,FARM,http://slime.finance,2021-06-28,http://slime.finance,BSC,D
196,ADA,BNB,99.94,454.47,BSC,9052.746847746232,FARM,https://www.jiggly.finance,2021-06-28,https://www.jiggly.finance,BSC,C
197,ADA,BNB,155616.00,8.96,BSC,9.372467520132366,FARM,https://app.swamp.finance,2021-06-28,https://app.swamp.finance,BSC,C
198,ADA,BNB,2994778.03,1.16,BSC,1.1667354430092924,FARM,https://app.swamp.finance,2021-06-28,https://app.swamp.finance,BSC,C
199,ADA,BNB,29891.81,6.81,BSC,7.046555063543214,FARM,https://swipe.org/farm,2021-06-28,https://swipe.org/farm,BSC,B
200,ADA,BNB,226.53,0.00,BSC,0.0,FARM,http://shitz.lol,2021-06-28,http://shitz.lol,BSC,F
201,ADA,BNB,10590.63,25.97,BSC,29.64213419670896,FARM,https://pumpy.farm,2021-06-28,https://pumpy.farm,BSC,D
202,ADA,BNB,156.61,204.28,BSC,666.8375225255469,FARM,https://mooncakeswap.finance,2021-06-28,https://mooncakeswap.finance,BSC,D
203,ADA,BNB,1179.04,61.17,BSC,84.26191321496582,FARM,https://app.comos.finance/,2021-06-28,https://app.comos.finance/,BSC,D
204,ADA,BNB,1855.15,104.89,BSC,185.02188188214288,FARM,https://pandayield.com,2021-06-28,https://pandayield.com,BSC,D
205,ADA,BNB,428.27,161.69,BSC,401.9494436362128,FARM,https://mouse.farm,2021-06-28,https://mouse.farm,BSC,D
