,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
0,,sil,0.0,0.0,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
1,$BASED,ETH,12357.6456165,11.29263312,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
2,$BASED,SUSD,15617.8539163,5.28389172,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
3,$DG,BNB,1817147.28,203.39,BSC,660.0805162472055,FARM,https://pancakeswap.finance,2021-06-28,https://pancakeswap.finance,BSC,B
4,$DG,ETH,573615.99,86.51,MATIC,137.28135769273723,FARM,https://quickswap.exchange/#/quick,2021-06-28,https://quickswap.exchange/#/quick,MATIC,B
5,$DG,ETH,754602.7704681,23.89966308,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
6,$DG,QUICK,173485.21,71.51,MATIC,104.29613746725784,FARM,https://quickswap.exchange/#/quick,2021-06-28,https://quickswap.exchange/#/quick,MATIC,B
7,$ROPE,ETH,21911.2203189,1.694274,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
8,$TRDL,ETH,148319.28,162.47,ETH,405.8625143428751,FARM,https://strudel.finance,2021-06-28,https://strudel.finance,ETH,D
9,$TRDL,ETH,66660.3234788,4.68032904,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
10,$TRDL,ETH,4886.1899874,5.22454692,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
11,$TRDL,MUST,5192.44,0.00,MATIC,0.0,FARM,https://swap.cometh.io/#/stake,2021-06-28,https://swap.cometh.io/#/stake,MATIC,C
12,$TRDL,oneVBTC,0.0,0.0,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
13,0XMON,ETH,15095.741157,29.23453428,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
14,0xBTC,ETH,3.7067058,0.0,ETH,,POOL,Sushi,2021-06-28,Sushi,ETH,A
15,0xBTC,ETH,24481.828752999998,4.9600000799999995,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
16,0xMR,ETH,4643.715326699999,3.61462812,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
17,1337,ETH,147062.8813289,0.18444143999999998,ETH,,POOL,Uniswap,2021-06-28,Uniswap,ETH,A
18,1INCH,,0.00,0,BSC,0.0,FARM,https://caramelswap.finance,2021-06-28,https://caramelswap.finance,BSC,C
19,1INCH,ABS,3.97,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-28,https://absorber.finance,BSC,D
20,1INCH,BNB,1473.67,257.29,BSC,1198.6029840421324,FARM,https://icecreamswap.finance,2021-06-28,https://icecreamswap.finance,BSC,D
21,1INCH,BNB,707.74,651.27,BSC,63505.11212593076,FARM,http://mangofarm.finance,2021-06-28,http://mangofarm.finance,BSC,C
22,1INCH,BNB,0.00,0,BSC,0.0,FARM,https://brussels.worldswap.finance,2021-06-28,https://brussels.worldswap.finance,BSC,D
23,1INCH,BNB,4898.31,410.24,BSC,5811.690584159278,FARM,https://berlin.worldswap.finance,2021-06-28,https://berlin.worldswap.finance,BSC,D
