pair1,pair2,tvl,apr,where,network
USDP,DUCK,128210,51.17,https://app.sushi.com/farms/,ETH
TRDL,WETH,32576,120.84,https://app.sushi.com/farms/,ETH
RLC,WETH,708997,27.76,https://app.sushi.com/farms/,ETH
bDIGG,WETH,71332,55.19,https://app.sushi.com/farms/,ETH
bBADGER,WETH,141294,46.43,https://app.sushi.com/farms/,ETH
YLA,USDC,555348,16.54,https://app.sushi.com/farms/,ETH
PUNK,BASIC,16889,233.09,https://app.sushi.com/farms/,ETH
MASK,USDC,346001,113.77,https://app.sushi.com/farms/,ETH
WETH,ROOK,2545012,12.89,https://app.sushi.com/farms/,ETH
DFX,WETH,45386,144.56,https://app.sushi.com/farms/,ETH
INV,WETH,504953,103.94,https://app.sushi.com/farms/,ETH
OCEAN,WETH,279864,23.44,https://app.sushi.com/farms/,ETH
WOO,USDC,803625,122.46,https://app.sushi.com/farms/,ETH
pONT,pWING,92820,70.68,https://app.sushi.com/farms/,ETH
DNT,WETH,678026,9.68,https://app.sushi.com/farms/,ETH
AERGO,WETH,103590,63.34,https://app.sushi.com/farms/,ETH
EGT,WETH,396264,16.56,https://app.sushi.com/farms/,ETH
MUST,WETH,353798,18.54,https://app.sushi.com/farms/,ETH
OHM,DAI,1692144,77.55,https://app.sushi.com/farms/,ETH
POOL,WETH,145844,134.96,https://app.sushi.com/farms/,ETH
WETH,YLD,723817,27.19,https://app.sushi.com/farms/,ETH
BZRX,WETH,860116,15.26,https://app.sushi.com/farms/,ETH
kmWETH/USDT,LINK,0,,https://app.sushi.com/farms/,ETH
kmWETH/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmWETH/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmWBTC/USDT,LINK,0,,https://app.sushi.com/farms/,ETH
kmWBTC/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmWBTC/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmLINK/USDT,LINK,0,,https://app.sushi.com/farms/,ETH
kmLINK/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmLINK/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/1INCH,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/AAVE,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/BADGER,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/ALPHA,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/BZRX,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/COMP,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/COVER,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/CREAM,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/GRT,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/HEGIC,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/LINK,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/REN,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/SRM,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/SUSHI,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/UNI,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/wNXM,LINK,0,,https://app.sushi.com/farms/,ETH
kmUSDC/YFI,LINK,0,,https://app.sushi.com/farms/,ETH
kmSUSHI/UNI,LINK,0.00,,https://app.sushi.com/farms/,ETH
kmUNI/SUSHI,LINK,0,,https://app.sushi.com/farms/,ETH
kmSUSHI/USDC,LINK,0.00,,https://app.sushi.com/farms/,ETH
kmSUSHI/USDT,LINK,0,,https://app.sushi.com/farms/,ETH
kmSUSHI/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmWETH/1INCH,LINK,0,,https://app.sushi.com/farms/,ETH
kmYFI/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmAAVE/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmALPHA/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmBADGER/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmRUNE/USDT,LINK,0,,https://app.sushi.com/farms/,ETH
kmUMA/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmDAI/CRV,LINK,0,,https://app.sushi.com/farms/,ETH
kmDPI/sUSD,LINK,0,,https://app.sushi.com/farms/,ETH
yvBOOST,WETH,17990552,21.88,https://app.sushi.com/farms/,ETH
AXS,WETH,2830661,23.18,https://app.sushi.com/farms/,ETH
BDI,WETH,6346913,25.84,https://app.sushi.com/farms/,ETH
BASK,WETH,1054568,93.32,https://app.sushi.com/farms/,ETH
BTC2x,FLI,5710476,28.72,https://app.sushi.com/farms/,ETH
WBTC,ibBTC,38681105,4.24,https://app.sushi.com/farms/,ETH
ZIG,WETH,16531,396.88,https://app.sushi.com/farms/,ETH
MM,WETH,195531,53.69,https://app.sushi.com/farms/,ETH
PENDLE,WETH,968282,135.52,https://app.sushi.com/farms/,ETH
PMON,WETH,110938,59.14,https://app.sushi.com/farms/,ETH
MANA,WETH,2734882,47.98,https://app.sushi.com/farms/,ETH
WASABI,WETH,60847,107.83,https://app.sushi.com/farms/,ETH
DRC,WETH,178120,73.67,https://app.sushi.com/farms/,ETH
WETH,DG,193752,67.72,https://app.sushi.com/farms/,ETH
ILV,WETH,338221,193.98,https://app.sushi.com/farms/,ETH
kmxSUSHI/UST,LINK,0,,https://app.sushi.com/farms/,ETH
kmxSUSHI/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmxSUSHI/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmxSUSHI/TUSD,LINK,0,,https://app.sushi.com/farms/,ETH
kmxSUSHI/USDT,LINK,0,,https://app.sushi.com/farms/,ETH
BLO,WETH,32918,79.73,https://app.sushi.com/farms/,ETH
LDN,WETH,43409.07,60.46,https://app.sushi.com/farms/,ETH
WETH,WOOFY,30905,42.46,https://app.sushi.com/farms/,ETH
YFI,WOOFY,239179,5.49,https://app.sushi.com/farms/,ETH
NAOS,WETH,210874,155.56,https://app.sushi.com/farms/,ETH
UMB,WETH,109078,180.45,https://app.sushi.com/farms/,ETH
MOVE,WETH,647911,20.25,https://app.sushi.com/farms/,ETH
LEV,WETH,108382,60.54,https://app.sushi.com/farms/,ETH
WETH,MLN,3070117,42.74,https://app.sushi.com/farms/,ETH
RULER,WETH,96291,163.53,https://app.sushi.com/farms/,ETH
