,pair1,pair2,tvl,apr,network,apy,qpr,type_of_agriculture,dex,date,#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url
0,,sil,0.0,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
1,$BASED,ETH,12357.6456165,11.29263312,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
2,$BASED,SUSD,15617.8539163,5.28389172,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
3,$DG,BNB,1763242.43,221.00,BSC,805.5174267563523,,FARM,https://pancakeswap.finance,2021-06-28,x,,,least,Pancake,CAKE,https://pancakeswap.finance,https://rugdoc.io/project/pancakeswap/
4,$DG,ETH,575396.91,83.81,MATIC,130.9749928719156,,FARM,https://quickswap.exchange/#/quick,2021-06-28,,,,,,,,
5,$DG,ETH,754602.7704681,23.89966308,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
6,$DG,QUICK,172671.26,70.04,MATIC,101.32067689831925,,FARM,https://quickswap.exchange/#/quick,2021-06-28,,,,,,,,
7,$ROPE,ETH,21911.2203189,1.694274,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
8,$TRDL,ETH,130867.64,146.48,ETH,331.4013203439246,,FARM,https://strudel.finance,2021-06-28,,,,,,,,
9,$TRDL,ETH,66660.3234788,4.68032904,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
10,$TRDL,ETH,4886.1899874,5.22454692,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
11,$TRDL,MUST,2384.73,0.00,MATIC,0.0,,FARM,https://swap.cometh.io/#/stake,2021-06-28,,,,,,,,
12,$TRDL,oneVBTC,0.0,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
13,0XMON,ETH,15095.741157,29.23453428,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
14,0xBTC,ETH,3.7067058,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
15,0xBTC,ETH,24481.828752999998,4.9600000799999995,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
16,0xMR,ETH,4643.715326699999,3.61462812,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
17,1337,ETH,147062.8813289,0.18444143999999998,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
18,1INCH,,0.00,0,BSC,0.0,,FARM,https://caramelswap.finance,2021-06-28,x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/
19,1INCH,ABS,4.36,0.00,BSC,0.0,,FARM,https://absorber.finance,2021-06-28,,,,,,,,
20,1INCH,BNB,1503.57,258.23,BSC,1210.7809995792657,,FARM,https://icecreamswap.finance,2021-06-28,x,3.0,,,Icecream,GLTO,https://icecreamswap.finance,https://swapicecream.gitbook.io/icecreamswap-2-0/audit-report
21,1INCH,BNB,1088.88,742.86,BSC,156145.8192515663,,FARM,http://mangofarm.finance,2021-06-28,x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/
22,1INCH,BNB,0.00,0,BSC,0.0,,FARM,https://brussels.worldswap.finance,2021-06-28,,,,,,,,
23,1INCH,BNB,5455.69,15929.71,BSC,2.563750434736733e+59,,FARM,https://berlin.worldswap.finance,2021-06-28,,,,,,,,
24,1INCH,BUSD,212.37,15.17,BSC,16.377436291442372,,FARM,http://mangofarm.finance,2021-06-28,x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/
25,1INCH,ETH,9441292.68,0.00,ETH,0.0,,FARM,https://1inch.exchange/#/dao/farming,2021-06-28,,,,,,,,
26,1INCH,ETH,682600.6749025,20.96813076,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
27,1INCH,ETH,5228.8840184,5.41394916,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
28,1INCH,USDC,1234.5186342000002,0.40344696,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
29,1INCH,VSP,3447231.47,0.00,ETH,0.0,,FARM,https://1inch.exchange/#/dao/farming,2021-06-28,,,,,,,,
30,1INCH-LINK,kmUSDC,0.0,,ETH,,,FARM,SUSHI,2021-06-28,,,,,,,,
31,1INCH-LINK,kmWETH,0.0,,ETH,,,FARM,SUSHI,2021-06-28,,,,,,,,
32,1ONE,ETH,202398.51934189998,1.40943996,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
33,1UP,ETH,435.3433787,0.5265770399999999,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
34,2GT,USDT,34162.726221900004,2.15423844,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
35,2KEY,DAI,9033.4987805,1.51039296,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
36,2KEY,ETH,74097.1491202,2.4262336799999997,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
37,2KEY,ETH,14.3307172,0.0035435999999999996,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
38,3Crv,,44240792.72,16.41,ETH,17.82886890044397,,FARM,https://www.convexfinance.com,2021-06-28,,,,,,,,
39,3Crv,,108963134.00,3.79,ETH,3.862532140078523,,FARM,https://www.convexfinance.com,2021-06-28,,,,,,,,
40,3EPS,,394436.25,19.09,BSC,21.027801265501168,,FARM,https://app.swamp.finance,2021-06-28,,,,,,,,
41,3EPS,,356839220.27,6.09,BSC,6.2787230640831915,,FARM,https://ellipsis.finance,2021-06-28,,,,,,,,
42,3FBird,,0.00,0,MATIC,0.0,,FARM,https://app.firebird.finance,2021-06-28,,,,,,,,
43,3FROYO,,381258.23,24.42,FANTOM,27.649539031214985,,FARM,https://frozenyogurt.finance,2021-06-28,,,,,,,,
44,3NRV-LP,,167289566.12,3.82,BSC,3.893692325165121,,FARM,https://nerve.fi,2021-06-28,,,,,,,,
45,4Belt,,0.00,0,BSC,0.0,,FARM,https://autofarm.network,2021-06-28,,,,,,,,
46,4Belt,,0.00,0,BSC,0.0,,FARM,https://beta.belt.fi,2021-06-28,,,,,,,,
47,4Belt,,0.00,0,BSC,0.0,,FARM,https://app.swamp.finance,2021-06-28,,,,,,,,
48,4Belt,,0.00,0,BSC,0.0,,FARM,https://blue.planetfinance.io,2021-06-28,,,,some,Blue - PlanetFinance,AQUA,https://blue.planetfinance.io,https://rugdoc.io/project/planetfinance/
49,69C,ETH,515.6546944,0.08386212000000001,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
50,888,BNB,99.42,1030.08,BSC,2579892.1473661033,,FARM,https://glacierswap.org/farms/,2021-06-28,,,,,,,,
51,88MPH,DAI,6797.210855900001,0.07637052,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
52,88MPH,HARVEST,0.0,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
53,88MPH,UNI,23351.9001738,0.09764616000000001,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
54,89SA,ETH,3998.7623129999997,5.15366652,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
55,8BALL,,824.52,1546.35,MATIC,377875660.43480253,,FARM,https://8ballfinance.io,2021-06-28,,,,,,,,
56,8BALL,USDC,1319.89,2955.12,MATIC,219196699775525.0,,FARM,https://8ballfinance.io,2021-06-28,,,,,,,,
57,8BALL,WMATIC,1187.07,4418.81,MATIC,1.3031598102483252e+20,,FARM,https://8ballfinance.io,2021-06-28,,,,,,,,
58,A010,BNB,2198.10,2.80,BSC,2.839458000968098,,FARM,https://dollar.supra.finance,2021-06-28,,,,,,,,
59,AAH,ETH,60304.3105996,0.37990164000000004,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
60,AAVE,,0.00,0,ETH,0.0,,FARM,https://polycat.finance,2021-06-28,,,,,,,,
61,AAVE,,36643.86,21182.46,ETH,3.5001111149995975e+74,,FARM,https://harvester.app,2021-06-28,,,,,,,,
62,AAVE,,100.36,70.88,MATIC,103.01560743312726,,FARM,https://polyvolve.finance,2021-06-28,,,,some,Polyvolve,SPEAR,https://polyvolve.finance,https://rugdoc.io/project/polyvolve-finance/
63,AAVE,,14248.43,69.63,MATIC,100.49852171005082,,FARM,https://polygaj.finance,2021-06-28,x,,,some,Polygaj,GAJ,https://polygaj.finance,https://rugdoc.io/project/polygaj-finance/
64,AAVE,,2984.94,0,MATIC,0.0,,FARM,https://www.polycake.finance,2021-06-28,x,,,some,Polycake,PCAKE,https://www.polycake.finance,https://rugdoc.io/project/polycake-finance/
65,AAVE,,32.72,0,MATIC,0.0,,FARM,https://polyrangers.finance,2021-06-28,,,,some,Polyrangers,RNG,https://polyrangers.finance,https://rugdoc.io/project/polyrangers-poly/
66,AAVE,,1824.60,176.20,MATIC,479.9436169820983,,FARM,https://polyvalent.finance,2021-06-28,,,,,,,,
67,AAVE,,1068.29,117.21,MATIC,222.27082458638304,,FARM,https://polyfi.io,2021-06-28,,,,low,Polyfi,PolyFi,https://polyfi.io,https://rugdoc.io/project/polyfi-polygon/
68,AAVE,,2450.57,0,MATIC,0.0,,FARM,https://polylion.exchange,2021-06-28,x,,,low,Polylion,LION,https://polylion.exchange,https://rugdoc.io/project/polylion/
69,AAVE,,1557.07,55.55,MATIC,74.20763662482763,,FARM,https://www.orcinuslabs.ca,2021-06-28,,,,low,Orcinus,ORCA,https://www.orcinuslabs.ca,https://rugdoc.io/project/orcinuslabs/
70,AAVE,,1087.81,12.96,MATIC,13.834675738122804,,FARM,https://polywolf.finance,2021-06-28,,,,some,PolyWolf,WOLF,https://polywolf.finance,https://rugdoc.io/project/polywolf/
71,AAVE,,46.39,232.58,MATIC,915.9622297565495,,FARM,https://www.polygoat.finance,2021-06-28,,,,high,Polygoat,GOAT,https://www.polygoat.finance,https://rugdoc.io/project/polygoat/
72,AAVE,,6550.72,269.48,MATIC,1365.6747671440157,,FARM,https://www.moonwolf.io,2021-06-28,,,,,,,,
73,AAVE,,0.00,0,MATIC,0.0,,FARM,https://polycrab.finance,2021-06-28,,,,some,Polycrab,CRAB,https://polycrab.finance,https://rugdoc.io/project/polycrab/
74,AAVE,,66.71,84.47,MATIC,132.50094030260598,,FARM,https://polybear.exchange,2021-06-28,,,,low,Polybear,BEAR,https://polybear.exchange,https://rugdoc.io/project/polybear/
75,AAVE,,1854.98,239.98,MATIC,993.4744777453473,,FARM,https://www.smellycat.finance,2021-06-28,,,,low,Smellycat,PUSSY,https://www.smellycat.finance,https://rugdoc.io/project/smellycat-finance/
76,AAVE,,247.54,0.00,MATIC,0.0,,FARM,https://polygold.finance,2021-06-28,x,,,RUG,Polygold,POLYGOLD,https://polygold.finance,https://rugdoc.io/project/polygold/
77,AAVE,,0.00,0,MATIC,0.0,,FARM,https://www.polyswan.finance,2021-06-28,,,,low,Polyswan,SWAN,https://www.polyswan.finance,https://rugdoc.io/project/polyswan/
78,AAVE,,1696.79,113.41,MATIC,210.2914238624297,,FARM,https://polypingu.finance,2021-06-28,x,,,some,PolyPingu,PINGU,https://polypingu.finance,https://rugdoc.io/project/polypingu/
79,AAVE,,1806.43,55.44,MATIC,74.01640417356606,,FARM,https://polygon.prismfinance.net,2021-06-28,x,,,low,Prism,PRISM,https://polygon.prismfinance.net,https://rugdoc.io/project/prism-finance/
80,AAVE,,2977.49,207.97,MATIC,695.4975199748734,,FARM,https://dinosaurfinance.vercel.app,2021-06-28,,,,high,Dinosaur,DINO,https://dinosaurfinance.vercel.app,https://rugdoc.io/project/dinosaur-finance/
81,AAVE,,9.92,831.54,MATIC,372128.90246359503,,FARM,https://polymouse.finance,2021-06-28,,,,low,Polymouse,MICE,https://polymouse.finance,https://rugdoc.io/project/polymouse/
82,AAVE,,229.61,63.36,MATIC,88.33473623590054,,FARM,https://www.polytiger.com/,2021-06-28,,,,,,,,
83,AAVE,,4.35,735.74,MATIC,145613.74439081244,,FARM,https://polydeer.finance,2021-06-28,,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/
84,AAVE,,4.35,2207.23,MATIC,202870288195.605,,FARM,https://polydeer.finance,2021-06-28,,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/
85,AAVE,,4.35,5885.95,MATIC,5.00156381709731e+25,,FARM,https://polydeer.finance,2021-06-28,,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/
86,AAVE,,5.88,344.87,MATIC,2995.4221754975606,,FARM,https://avengers.exchange,2021-06-28,,,,low,Avengers,SHIELD,https://avengers.exchange,https://rugdoc.io/project/avengers-exchange/
87,AAVE,,587426.95,680.49,MATIC,84646.01118631294,,FARM,https://polypup.finance,2021-06-28,,,,low,PolyPup,PUP,https://polypup.finance,https://rugdoc.io/project/polypup-finance/
88,AAVE,,2004.52,50.67,MATIC,65.92216715096906,,FARM,https://polygon.space-defi.com/,2021-06-28,,,,,,,,
89,AAVE,,11547.41,15.77,MATIC,17.077502294999558,,FARM,https://8ballfinance.io,2021-06-28,,,,,,,,
90,AAVE,,75410.04,163.61,MATIC,411.6364048308217,,FARM,https://polysnow.farm,2021-06-28,,,,low,PolySnowFarm,SNOW,https://polysnow.farm,https://rugdoc.io/project/polysnow-farm/
91,AAVE,,930.75,681.15,MATIC,85196.87569319739,,FARM,https://polycafe.finance,2021-06-28,,,,,,,,
92,AAVE,,1.16,3092.08,MATIC,776498584265660.6,,FARM,https://polycomet.com,2021-06-28,,,,,,,,
93,AAVE,,1144.15,65.36,MATIC,92.13258638940378,,FARM,https://bali.worldswap.finance,2021-06-28,,,,,,,,
94,AAVE,,15288.72,19.43,MATIC,21.43977836575408,,FARM,https://polycuban.finance,2021-06-28,,,,,,,,
95,AAVE,,15453.61,0,ETH,0.0,,FARM,https://www.bigdataprotocol.com/datavault,2021-06-28,,,,,,,,
96,AAVE,,24518404.01,14.46,ETH,15.554415728867088,,FARM,https://dao.universe.xyz/yield-farming,2021-06-28,,,,,,,,
97,AAVE,,74.84,95.37,FANTOM,159.20685265128677,,FARM,https://klingftm.borgswap.exchange,2021-06-28,,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/
98,AAVE,AVAX,1937503.04,12.98,AVAX,13.857436861320483,,FARM,https://app.pangolin.exchange/#/png,2021-06-28,,,,,,,,
99,AAVE,BNB,1936008.28,51.10,BSC,66.63617107981841,,FARM,https://apeswap.finance,2021-06-28,,,,some,Apeswap,BANANA,https://apeswap.finance,https://rugdoc.io/project/apeswap/
100,AAVE,BNB,59.28,157.65,BSC,382.1596896830414,,FARM,https://app.gametoken.finance,2021-06-28,,,,low,Gametoken,GME,https://app.gametoken.finance,https://rugdoc.io/project/gametoken/
101,AAVE,BRSK,286.96,1200.55,MATIC,13489835.431128884,,FARM,https://berserkfinance.com,2021-06-28,,,,low,BerserkFinance,BRSK,https://berserkfinance.com,https://rugdoc.io/project/berserk-finance/
102,AAVE,ELK,21282.12,233.50,MATIC,925.2923657822805,,FARM,https://app.elk.finance,2021-06-28,,,,,,,,
103,AAVE,ELK,2335.45,249.32,FANTOM,1099.7801764492199,,FARM,https://app.elk.finance,2021-06-28,,,,,,,,
104,AAVE,ETH,97454796.63,,ETH,,11.16,FARM,SUSHI,2021-06-28,,,,,,,,
105,AAVE,ETH,5063463.69,0,ETH,0.0,,FARM,https://polycat.finance,2021-06-28,,,,,,,,
106,AAVE,ETH,5140585.49,19.27,MATIC,21.245732868832867,,FARM,https://app.wault.finance/polygon,2021-06-28,,,,,,,,
107,AAVE,ETH,1629996.66,163.43,MATIC,410.72038772039787,,FARM,https://polycrystal.finance,2021-06-28,,,,,,,,
108,AAVE,ETH,45676807.385430805,10.297034640000001,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
109,AAVE,ETH,11165228.6515489,13.24635516,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
110,AAVE,FTM,1178983.62,76.56,FANTOM,114.85607189393359,,FARM,https://spookyswap.finance,2021-06-28,x,,,low,Spooky,boo,https://spookyswap.finance,https://rugdoc.io/project/spookyswap/
111,AAVE,FTM,1192047.12,9.10,FANTOM,9.52565828420957,,FARM,https://frankenstein.finance,2021-06-28,,,,high,Frankenstein,FRANK,https://frankenstein.finance,https://rugdoc.io/project/frankenstein/
112,AAVE,FTM,128248.08,17.86,FANTOM,19.549020948921903,,FARM,https://waka.finance,2021-06-28,x,,,high,Waka,WAKA,https://waka.finance,https://rugdoc.io/project/waka-ftm/
113,AAVE,FTM,46506.58,164.19,FANTOM,414.5991756871928,,FARM,https://www.operaswap.finance,2021-06-28,,,,some,Opera,OPERA,https://www.operaswap.finance,https://rugdoc.io/project/operaswap-finance/
114,AAVE,MUST,7283.01,0.00,MATIC,0.0,,FARM,https://swap.cometh.io/#/stake,2021-06-28,,,,,,,,
115,AAVE,PNG,136312.74,38.96,AVAX,47.608338554943415,,FARM,https://app.pangolin.exchange/#/png,2021-06-28,,,,,,,,
116,AAVE,USDC,944412.94,228.43,MATIC,874.9165604261364,,FARM,https://exchange.dfyn.network,2021-06-28,,,,,,,,
117,AAVE,USDC,71954.43,71.10,FANTOM,103.46186453315025,,FARM,https://www.liquiddriver.finance,2021-06-28,,,,,,,,
118,AAVE,USDC,72030.48,88.34,FANTOM,141.65301447287177,,FARM,https://klingftm.borgswap.exchange,2021-06-28,,,,low,Borgswap,KLING,https://klingftm.borgswap.exchange,https://rugdoc.io/project/borgswap-kling/
119,AAVE,WMATIC,170344.74,69.46,MATIC,100.15861087561157,,FARM,https://farm.polyzap.finance,2021-06-28,x,,,low,Polyzap,PZAP,https://farm.polyzap.finance,https://rugdoc.io/project/polyzap-poly/
120,AAVE,WMATIC,9098.96,547.53,MATIC,22821.011751496233,,FARM,https://bali.worldswap.finance,2021-06-28,,,,,,,,
121,AAVE,WMATIC,1428791.54,186.79,MATIC,544.3917887769037,,FARM,https://polycrystal.finance,2021-06-28,,,,,,,,
122,AAVE-LINK,kmUSDC,0.0,,ETH,,,FARM,SUSHI,2021-06-28,,,,,,,,
123,ABRA,,369.88,251.64,BSC,1127.7463213068272,,FARM,https://abrakadabra.tech,2021-06-28,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
124,ABRA,BNB,578.61,321.73,BSC,2361.124120384726,,FARM,https://abrakadabra.tech,2021-06-28,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
125,ABRA,BUSD,635.23,586.11,BSC,33413.70550747186,,FARM,https://abrakadabra.tech,2021-06-28,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
126,ABS,,240855.07,54.55,BSC,72.47683906989167,,FARM,https://absorber.finance,2021-06-28,,,,,,,,
127,ABS,1INCH,4.36,0.00,BSC,0.0,,FARM,https://absorber.finance,2021-06-28,,,,,,,,
128,ABS,BNB,1855.33,0.00,BSC,0.0,,FARM,https://absorber.finance,2021-06-28,,,,,,,,
129,ABS,BUSD,3186.32,0.00,BSC,0.0,,FARM,https://absorber.finance,2021-06-28,,,,,,,,
130,ABS,Cake,612.21,0.00,BSC,0.0,,FARM,https://absorber.finance,2021-06-28,,,,,,,,
131,ABYSS,ETH,250421.47939969998,0.95327736,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
132,AC,ETH,158687.0094871,2.25288096,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
133,ACG,ETH,16.2295784,0.02306028,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
134,ACORN,,0.00,0,MATIC,0.0,,FARM,https://lumberjack.finance,2021-06-28,,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/
135,ACORN,USDC,158.45,732.67,MATIC,141293.8702507889,,FARM,https://lumberjack.finance,2021-06-28,,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/
136,ACS,ACSI,3896.35,0.00,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
137,ACS,BNB,6554.38,0.00,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
138,ACS,BNB,896908.02,69.55,BSC,100.33849202173238,,FARM,https://mdex.com,2021-06-28,,,,,,,,
139,ACS,SXP,451060.06,0.45,BSC,0.4510112339964012,,FARM,https://swipe.org/farm,2021-06-28,,,,,,,,
140,ACS4,,0.00,0,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
141,ACS4IRON,,224810.24,92.67,BSC,152.31940678382836,,FARM,https://iron.finance/,2021-06-28,,,,,,,,
142,ACS4QUSD,,0.00,0,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
143,ACS4UST,,3868.18,0.00,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
144,ACS4VAI,,0.00,0,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
145,ACSI,ACS,3896.35,0.00,BSC,0.0,,FARM,https://app.acryptos.com,2021-06-28,,,,,,,,
146,ACXT,DGCL,11901.4808322,15.20060016,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
147,ACXWIN-KB,,0.00,0,BSC,0.0,,FARM,https://xwin.finance,2021-06-28,,,,,,,,
148,ADA,,8900.02,0.00,BSC,0.0,,FARM,https://www.goosedefi.com,2021-06-28,,,,,Goose,GOOSE,https://www.goosedefi.com,https://www.certik.org/projects/ramenswap
149,ADA,,121253.52,0,BSC,0.0,,FARM,https://www.goosedefi.com,2021-06-28,,,,,Goose,GOOSE,https://www.goosedefi.com,https://www.certik.org/projects/ramenswap
150,ADA,,2342.85,0.00,BSC,0.0,,FARM,http://slime.finance,2021-06-28,,,,low,Slime,SLIME,http://slime.finance,https://rugdoc.io/project/slime/
151,ADA,,269111.37,16.67,BSC,18.13548344325582,,FARM,https://koaladefi.finance/,2021-06-28,,,,,,,,
152,ADA,,2909.53,289.49,BSC,1687.6379829815235,,FARM,https://brickchain.finance,2021-06-28,,,,low,Brickchain,BRICK,https://brickchain.finance,https://rugdoc.io/project/brickchain/
153,ADA,,42143.03,35.32,BSC,42.337273295792954,,FARM,https://app.hyruleswap.com,2021-06-28,x,,,low,Hyrule,RUPEE,https://app.hyruleswap.com,https://rugdoc.io/project/hyruleswap/
154,ADA,,94.43,175.23,BSC,474.3720515919073,,FARM,https://www.jiggly.finance,2021-06-28,,,,low,Jiggly,JIGG,https://www.jiggly.finance,https://rugdoc.io/project/jiggly/
155,ADA,,2325.62,0.00,BSC,0.0,,FARM,http://shitz.lol,2021-06-28,,,,,,,,
156,ADA,,3403.02,10.15,BSC,10.681430107054402,,FARM,https://mooncakeswap.finance,2021-06-28,,,,low,Mooncake,MCAKE,https://mooncakeswap.finance,https://rugdoc.io/project/mooncakeswap/
157,ADA,,721.73,42.82,BSC,53.41078773759382,,FARM,https://app.comos.finance/,2021-06-28,,,,,,,,
158,ADA,,50.48,368.75,BSC,3821.2578914299256,,FARM,https://abrakadabra.tech,2021-06-28,,,,some,Abrakadabra,ABRA,https://abrakadabra.tech,https://rugdoc.io/project/abrakadabra/
159,ADA,,57.06,30.12,BSC,35.13117567927082,,FARM,https://farm.borgswap.exchange,2021-06-28,,,,low,BorgSwap,KLING,https://farm.borgswap.exchange,https://rugdoc.io/project/borg-ftm-bsc/
160,ADA,,11303.74,73.59,BSC,108.58139190682037,,FARM,https://bitblocks.finance,2021-06-28,,,,low,BitBlocks,BBKFI,https://bitblocks.finance,https://rugdoc.io/project/bitblocks/
161,ADA,,0.00,0,BSC,0.0,,FARM,https://lokum.finance,2021-06-28,,,,high,Lokum,LKM,https://lokum.finance,https://rugdoc.io/project/lokum-finance/
162,ADA,,5679.02,20.74,BSC,23.040218791619658,,FARM,https://limeswap.io,2021-06-28,x,,,low,Lime,LIME,https://limeswap.io,https://rugdoc.io/project/limeswap-io/
163,ADA,,10674.65,0.00,BSC,0.0,,FARM,https://caramelswap.finance,2021-06-28,x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/
164,ADA,,2581.85,27.74,BSC,31.955510929917885,,FARM,https://tapswap.finance,2021-06-28,x,,,some,Tap,TAPS,https://tapswap.finance,https://rugdoc.io/project/tapswap-money/
165,ADA,,228009.01,51.01,BSC,66.48647528858709,,FARM,https://app.barbecueswapfinance.com,2021-06-28,,,,low,Barbecue Swap,BBQ,https://app.barbecueswapfinance.com,https://rugdoc.io/project/barbecueswap-finance/
166,ADA,,130.20,0.00,BSC,0.0,,FARM,https://vanillacake.farm,2021-06-28,x,,,some,Vanillacake,VCAKE,https://vanillacake.farm,https://rugdoc.io/project/vanillacake/
167,ADA,,4090.24,0.00,BSC,0.0,,FARM,https://garudaswap.finance,2021-06-28,x,,,some,Garuda,GARUDA,https://garudaswap.finance,https://rugdoc.io/project/garudaswap/
168,ADA,,1499.73,22.61,BSC,25.36132729260956,,FARM,https://www.elixir-swap.io,2021-06-28,,,,high,Elixir,ELXR,https://www.elixir-swap.io,https://rugdoc.io/project/elixir-swap/
169,ADA,,6620.74,2.23,BSC,2.254980705897247,,FARM,https://www.grizzlyswap.com,2021-06-28,,,,low,Grizzly,GRZ,https://www.grizzlyswap.com,https://rugdoc.io/project/grizzlyswap/
170,ADA,,1941.16,0.00,BSC,0.0,,FARM,https://gocerberus.finance,2021-06-28,x,,,low,Cerberus,CERBERUS,https://gocerberus.finance,https://rugdoc.io/project/gocerberus/
171,ADA,,1095.40,0.00,BSC,0.0,,FARM,https://ketchupfinance.com,2021-06-28,x,,,some,Ketchup,KETCHUP,https://ketchupfinance.com,https://rugdoc.io/project/ketchup-finance/
172,ADA,,20376.80,115.88,BSC,218.0264623011472,,FARM,https://mayoswap.com,2021-06-28,,,,high,Mayo,MAYO,https://mayoswap.com,https://rugdoc.io/project/mayoswap/
173,ADA,,558.68,69.97,BSC,101.18007131598135,,FARM,https://www.andromedadefi.com,2021-06-28,,,,low,Andromeda,ADR,https://www.andromedadefi.com,https://rugdoc.io/project/andromeda/
174,ADA,,1548.97,13.38,BSC,14.313613630733357,,FARM,https://thunderbird.finance/,2021-06-28,,,,,,,,
175,ADA,,14879.15,15.69,BSC,16.983918062811764,,FARM,https://www.venomswap.net,2021-06-28,,,,low,VenomSwap,VENOM,https://www.venomswap.net,https://rugdoc.io/project/venom-swap/
176,ADA,,16.45,1582.56,BSC,534741225.13991165,,FARM,https://www.blacksheepdefi.com,2021-06-28,,,,low,Blacksheep,BLACKSHEEP,https://www.blacksheepdefi.com,https://rugdoc.io/project/blacksheep-finance/
177,ADA,,0.00,0,BSC,0.0,,FARM,https://brussels.worldswap.finance,2021-06-28,,,,,,,,
178,ADA,,13662.40,1.00,BSC,1.0050028723681548,,FARM,https://krustykrab.finance,2021-06-28,,,,,,,,
179,ADA,,269.43,435.74,BSC,7506.556508100076,,FARM,https://www.meatchfinance.com/,2021-06-28,,,,,,,,
180,ADA,,18373.85,37.67,BSC,45.71839125563331,,FARM,https://www.carnageswap.net,2021-06-28,,,,,,,,
181,ADA,,191396.56,7.61,BSC,7.906191658985273,,FARM,https://thoreum.finance,2021-06-28,,,,,,,,
182,ADA,,146383.84,9.96,BSC,10.471392849367778,,FARM,https://thoreum.finance,2021-06-28,,,,,,,,
183,ADA,,33319.68,56.10,BSC,75.16694709614691,,FARM,https://app.seedmoneyfinance.com,2021-06-28,,,,,,,,
184,ADA,,9589.65,327586.60,BSC,,,FARM,https://app.seedmoneyfinance.com,2021-06-28,,,,,,,,
185,ADA,,36021.92,264129.00,BSC,,,FARM,https://whalefarm.finance,2021-06-28,,,,,,,,
186,ADA,,15734.97,2761.60,BSC,36426909476184.85,,FARM,https://berlin.worldswap.finance,2021-06-28,,,,,,,,
