pair1,pair2,tvl,where,qpr,network
OHM,DAI,1520330.79,SUSHI,86.73,ETH
POOL,WETH,130084.83,SUSHI,50.68,ETH
WETH,YLD,737206.72,SUSHI,8.94,ETH
BZRX,WETH,829363.66,SUSHI,7.95,ETH
kmWETH,USDT-LINK,0,SUSHI,NaN,ETH
kmWETH,USDC-LINK,0,SUSHI,NaN,ETH
kmWETH,DAI-LINK,0,SUSHI,NaN,ETH
kmWBTC,USDT-LINK,0,SUSHI,NaN,ETH
kmWBTC,DAI-LINK,0,SUSHI,NaN,ETH
kmWBTC,USDC-LINK,0,SUSHI,NaN,ETH
kmLINK,USDT-LINK,0,SUSHI,NaN,ETH
kmLINK,DAI-LINK,0,SUSHI,NaN,ETH
kmLINK,USDC-LINK,0,SUSHI,NaN,ETH
kmUSDC,1INCH-LINK,0,SUSHI,NaN,ETH
kmUSDC,AAVE-LINK,0,SUSHI,NaN,ETH
kmUSDC,BADGER-LINK,0,SUSHI,NaN,ETH
kmUSDC,ALPHA-LINK,0,SUSHI,NaN,ETH
kmUSDC,BZRX-LINK,0,SUSHI,NaN,ETH
kmUSDC,COMP-LINK,0,SUSHI,NaN,ETH
kmUSDC,COVER-LINK,0,SUSHI,NaN,ETH
kmUSDC,CREAM-LINK,0,SUSHI,NaN,ETH
kmUSDC,GRT-LINK,0,SUSHI,NaN,ETH
kmUSDC,HEGIC-LINK,0,SUSHI,NaN,ETH
kmUSDC,LINK-LINK,0,SUSHI,NaN,ETH
kmUSDC,REN-LINK,0,SUSHI,NaN,ETH
kmUSDC,SRM-LINK,0,SUSHI,NaN,ETH
kmUSDC,SUSHI-LINK,0,SUSHI,NaN,ETH
kmUSDC,UNI-LINK,0,SUSHI,NaN,ETH
kmUSDC,wNXM-LINK,0,SUSHI,NaN,ETH
kmUSDC,YFI-LINK,0,SUSHI,NaN,ETH
kmSUSHI,UNI-LINK,0,SUSHI,NaN,ETH
kmUNI,SUSHI-LINK,0,SUSHI,NaN,ETH
kmSUSHI,USDC-LINK,0,SUSHI,NaN,ETH
kmSUSHI,USDT-LINK,0,SUSHI,NaN,ETH
kmSUSHI,DAI-LINK,0,SUSHI,NaN,ETH
kmWETH,1INCH-LINK,0,SUSHI,NaN,ETH
kmYFI,USDC-LINK,0,SUSHI,NaN,ETH
kmAAVE,USDC-LINK,0,SUSHI,NaN,ETH
kmALPHA,USDC-LINK,0,SUSHI,NaN,ETH
kmBADGER,USDC-LINK,0,SUSHI,NaN,ETH
kmRUNE,USDT-LINK,0,SUSHI,NaN,ETH
kmUMA,DAI-LINK,0,SUSHI,NaN,ETH
kmDAI,CRV-LINK,0,SUSHI,NaN,ETH
kmDPI,sUSD-LINK,0,SUSHI,NaN,ETH
yvBOOST,WETH,18025895.3,SUSHI,29.26,ETH
AXS,WETH,2107860.82,SUSHI,15.64,ETH
BDI,WETH,6207013.25,SUSHI,26.56,ETH
BASK,WETH,964654.77,SUSHI,170.87,ETH
WBTC,ibBTC,40462838.87,SUSHI,4.07,ETH
ZIG,WETH,241510.67,SUSHI,27.3,ETH
MM,WETH,188440.17,SUSHI,69.98,ETH
PENDLE,WETH,962573.24,SUSHI,136.99,ETH
PMON,WETH,113541.71,SUSHI,58.07,ETH
MANA,WETH,3029520.21,SUSHI,43.53,ETH
WASABI,WETH,57141.3,SUSHI,115.38,ETH
DRC,WETH,161603.68,SUSHI,81.6,ETH
WETH,DG,199174.88,SUSHI,66.2,ETH
ILV,WETH,1335027.9,SUSHI,49.39,ETH
kmxSUSHI,UST-LINK,0,SUSHI,NaN,ETH
kmxSUSHI,DAI-LINK,0,SUSHI,NaN,ETH
kmxSUSHI,USDC-LINK,0,SUSHI,NaN,ETH
kmxSUSHI,TUSD-LINK,0,SUSHI,NaN,ETH
kmxSUSHI,USDT-LINK,0,SUSHI,NaN,ETH
MASTERCHEFDUMMY,,0,SUSHI,NaN,ETH
BLO,WETH,35926.19,SUSHI,73.41,ETH
LDN,WETH,43098.03,SUSHI,91.79,ETH
WETH,WOOFY,27578.17,SUSHI,47.81,ETH
YFI,WOOFY,231614.75,SUSHI,5.69,ETH
NAOS,WETH,214763.76,SUSHI,153.5,ETH
UMB,WETH,139361.82,SUSHI,47.31,ETH
MOVE,WETH,668846.31,SUSHI,19.71,ETH
LEV,WETH,111560.22,SUSHI,23.64,ETH
WETH,MLN,2934228.5,SUSHI,44.94,ETH
RULER,WETH,90295.66,SUSHI,175.24,ETH
kmCOMP,USDC-LINK,0,SUSHI,NaN,ETH
kmFTM,USDC-LINK,0,SUSHI,NaN,ETH
kmSNX,USDC-LINK,0,SUSHI,NaN,ETH
kmRUNE,sUSD-LINK,0,SUSHI,NaN,ETH
kmREN,USDC-LINK,0,SUSHI,NaN,ETH
kmAAVE,DAI-LINK,0,SUSHI,NaN,ETH
kmUNI,DAI-LINK,0,SUSHI,NaN,ETH
BPT,WETH,61319.53,SUSHI,107.52,ETH
NEAR,WETH,446559.74,SUSHI,14.76,ETH
BANK,WETH,179802.89,SUSHI,36.67,ETH
alUSD,WETH,346491.55,SUSHI,19.03,ETH
USDC,SAK3,202670.13,SUSHI,32.53,ETH
BOND,WETH,109898.41,SUSHI,59.99,ETH
bb_cDAI,DAI,185368.94,SUSHI,35.57,ETH
WETH,FOLD,198340.45,SUSHI,33.24,ETH
NDX,WETH,181994.87,SUSHI,36.23,ETH
DEGEN,WETH,163372.24,SUSHI,40.36,ETH
